,geometry,cell_suid,resolution,cell_region,ellipsoidal_shape,nucleus,theoretical_area,calculated_area,error
0,"POLYGON ((19.999999999999996 1.00000058873647, 20.00000007743524 1.00000058873647, 20.000000154870484 1.00000058873647, 20.000000232305727 1.00000058873647, 20.000000309740972 1.00000058873647, 20.000000387176215 1.00000058873647, 20.000000464611457 1.00000058873647, 20.000000542046703 1.00000058873647, 20.000000619481945 1.00000058873647, 20.00000069691719 1.00000058873647, 20.00000069691719 1.000000522702483, 20.00000069691719 1.0000004566684964, 20.00000069691719 1.0000003906345096, 20.00000069691719 1.000000324600523, 20.00000069691719 1.0000002585665362, 20.00000069691719 1.0000001925325495, 20.00000069691719 1.0000001264985627, 20.00000069691719 1.0000000604645758, 20.00000069691719 0.9999999944305894, 20.000000619481945 0.9999999944305894, 20.000000542046703 0.9999999944305894, 20.000000464611457 0.9999999944305894, 20.000000387176215 0.9999999944305894, 20.000000309740972 0.9999999944305894, 20.000000232305727 0.9999999944305894, 20.000000154870484 0.9999999944305894, 20.00000007743524 0.9999999944305894, 19.999999999999996 0.9999999944305894, 19.999999999999996 1.0000000604645758, 19.999999999999996 1.000000126498563, 19.999999999999996 1.0000001925325495, 19.999999999999996 1.0000002585665362, 19.999999999999996 1.000000324600523, 19.999999999999996 1.0000003906345096, 19.999999999999996 1.0000004566684966, 19.999999999999996 1.0000005227024833, 19.999999999999996 1.00000058873647))",Q35303300000030333,17,equatorial,quad,"(np.float64(20.00000034845859), np.float64(1.0000002915835295))",0.00509744023210555,0.005097440023692513,2.084130368285031e-10
1,"POLYGON ((19.999999999999996 1.0000011830423536, 20.000000232305727 1.0000011830423536, 20.000000464611457 1.0000011830423536, 20.00000069691719 1.0000011830423536, 20.000000929222924 1.0000011830423536, 20.00000116152865 1.0000011830423536, 20.00000139383438 1.0000011830423536, 20.00000162614012 1.0000011830423536, 20.000001858445845 1.0000011830423536, 20.000002090751575 1.0000011830423536, 20.000002090751575 1.0000009849403932, 20.000002090751575 1.000000786838433, 20.000002090751575 1.000000588736473, 20.000002090751575 1.0000003906345125, 20.000002090751575 1.0000001925325526, 20.000002090751575 0.9999999944305923, 20.000002090751575 0.9999997963286325, 20.000002090751575 0.9999995982266721, 20.000002090751575 0.9999994001247121, 20.000001858445845 0.9999994001247121, 20.00000162614011 0.9999994001247121, 20.00000139383438 0.9999994001247121, 20.000001161528647 0.9999994001247121, 20.00000092922292 0.9999994001247121, 20.00000069691719 0.9999994001247121, 20.000000464611453 0.9999994001247121, 20.000000232305727 0.9999994001247121, 19.999999999999996 0.9999994001247121, 19.999999999999996 0.9999995982266721, 19.999999999999996 0.9999997963286325, 19.999999999999996 0.9999999944305923, 19.999999999999996 1.0000001925325526, 19.999999999999996 1.0000003906345125, 19.999999999999996 1.000000588736473, 19.999999999999996 1.000000786838433, 19.999999999999996 1.0000009849403932, 19.999999999999996 1.0000011830423536))",Q3530330000003033,16,equatorial,quad,"(np.float64(20.000001045375786), np.float64(1.0000002915835327))",0.045876962088949945,0.0458769626661808,-5.772308533935622e-10
2,"POLYGON ((19.999999999999996 1.0000029659599903, 20.00000069691719 1.0000029659599903, 20.00000139383438 1.0000029659599903, 20.000002090751575 1.0000029659599903, 20.000002787668773 1.0000029659599903, 20.000003484585967 1.0000029659599903, 20.000004181503158 1.0000029659599903, 20.000004878420352 1.0000029659599903, 20.000005575337543 1.0000029659599903, 20.000006272254737 1.0000029659599903, 20.000006272254737 1.0000023716541093, 20.000006272254737 1.0000017773482286, 20.000006272254737 1.000001183042348, 20.000006272254737 1.0000005887364676, 20.000006272254737 0.999999994430587, 20.000006272254737 0.9999994001247068, 20.000006272254737 0.9999988058188264, 20.000006272254737 0.9999982115129463, 20.000006272254737 0.9999976172070661, 20.000005575337543 0.9999976172070661, 20.000004878420352 0.9999976172070661, 20.000004181503158 0.9999976172070661, 20.00000348458596 0.9999976172070661, 20.00000278766877 0.9999976172070661, 20.000002090751575 0.9999976172070661, 20.00000139383438 0.9999976172070661, 20.00000069691719 0.9999976172070661, 19.999999999999996 0.9999976172070661, 19.999999999999996 0.9999982115129463, 19.999999999999996 0.9999988058188264, 19.999999999999996 0.9999994001247068, 19.999999999999996 0.999999994430587, 19.999999999999996 1.0000005887364676, 19.999999999999996 1.000001183042348, 19.999999999999996 1.0000017773482286, 19.999999999999996 1.0000023716541093, 19.999999999999996 1.0000029659599903))",Q353033000000303,15,equatorial,quad,"(np.float64(20.00000313612737), np.float64(1.0000002915835273))",0.41289265880054954,0.4128926582090011,5.915484213581124e-10
3,"POLYGON ((19.999999999999996 1.000008314712928, 20.000002090751575 1.000008314712928, 20.000004181503158 1.000008314712928, 20.000006272254737 1.000008314712928, 20.00000836300632 1.000008314712928, 20.0000104537579 1.000008314712928, 20.000012544509485 1.000008314712928, 20.000014635261063 1.000008314712928, 20.000016726012646 1.000008314712928, 20.000018816764225 1.000008314712928, 20.000018816764225 1.0000065317952829, 20.000018816764225 1.0000047488776391, 20.000018816764225 1.0000029659599956, 20.000018816764225 1.0000011830423536, 20.000018816764225 0.9999994001247121, 20.000018816764225 0.9999976172070715, 20.000018816764225 0.9999958342894323, 20.000018816764225 0.9999940513717938, 20.000018816764225 0.9999922684541561, 20.000016726012646 0.9999922684541561, 20.000014635261063 0.9999922684541561, 20.000012544509485 0.9999922684541561, 20.0000104537579 0.9999922684541561, 20.00000836300632 0.9999922684541561, 20.000006272254737 0.9999922684541561, 20.000004181503158 0.9999922684541561, 20.000002090751575 0.9999922684541561, 19.999999999999996 0.9999922684541561, 19.999999999999996 0.9999940513717938, 19.999999999999996 0.9999958342894323, 19.999999999999996 0.9999976172070715, 19.999999999999996 0.9999994001247121, 19.999999999999996 1.0000011830423536, 19.999999999999996 1.0000029659599956, 19.999999999999996 1.0000047488776391, 19.999999999999996 1.0000065317952829, 19.999999999999996 1.000008314712928))",Q35303300000030,14,equatorial,quad,"(np.float64(20.000009408382116), np.float64(1.0000002915835327))",3.7160339292049462,3.7160339342005764,-4.9956301317877205e-09
4,"POLYGON ((20 1.0000083147129208, 20.00000627225474 1.0000083147129208, 20.000012544509488 1.0000083147129208, 20.00001881676423 1.0000083147129208, 20.000025089018976 1.0000083147129208, 20.000031361273717 1.0000083147129208, 20.00003763352846 1.0000083147129208, 20.00004390578321 1.0000083147129208, 20.000050178037952 1.0000083147129208, 20.000056450292693 1.0000083147129208, 20.000056450292693 1.0000029659599885, 20.000056450292693 0.9999976172070645, 20.000056450292693 0.9999922684541491, 20.000056450292693 0.999986919701242, 20.000056450292693 0.9999815709483435, 20.000056450292693 0.9999762221954533, 20.000056450292693 0.9999708734425717, 20.000056450292693 0.9999655246896989, 20.000056450292693 0.9999601759368341, 20.000050178037952 0.9999601759368341, 20.00004390578321 0.9999601759368341, 20.00003763352846 0.9999601759368341, 20.000031361273717 0.9999601759368341, 20.000025089018976 0.9999601759368341, 20.00001881676423 0.9999601759368341, 20.000012544509488 0.9999601759368341, 20.00000627225474 0.9999601759368341, 20 0.9999601759368341, 20 0.9999655246896989, 20 0.9999708734425717, 20 0.9999762221954533, 20 0.9999815709483435, 20 0.999986919701242, 20 0.9999922684541491, 20 0.9999976172070645, 20 1.0000029659599885, 20 1.0000083147129208))",Q3530330000003,13,equatorial,quad,"(np.float64(20.000028225146348), np.float64(0.9999842453247919))",33.44430536284452,33.44430534629394,1.6550579573504365e-08
5,"POLYGON ((20 1.0000564534897, 20.00001881676423 1.0000564534897, 20.00003763352846 1.0000564534897, 20.000056450292693 1.0000564534897, 20.00007526705693 1.0000564534897, 20.000094083821157 1.0000564534897, 20.00011290058539 1.0000564534897, 20.00013171734962 1.0000564534897, 20.000150534113853 1.0000564534897, 20.000169350878082 1.0000564534897, 20.000169350878082 1.0000404072306994, 20.000169350878082 1.0000243609717745, 20.000169350878082 1.0000083147129264, 20.000169350878082 0.9999922684541546, 20.000169350878082 0.9999762221954589, 20.000169350878082 0.9999601759368396, 20.000169350878082 0.9999441296782967, 20.000169350878082 0.9999280834198301, 20.000169350878082 0.9999120371614401, 20.000150534113853 0.9999120371614401, 20.00013171734962 0.9999120371614401, 20.00011290058539 0.9999120371614401, 20.000094083821157 0.9999120371614401, 20.00007526705693 0.9999120371614401, 20.000056450292693 0.9999120371614401, 20.00003763352846 0.9999120371614401, 20.00001881676423 0.9999120371614401, 20 0.9999120371614401, 20 0.9999280834198301, 20 0.9999441296782967, 20 0.9999601759368396, 20 0.9999762221954589, 20 0.9999922684541543, 20 1.0000083147129264, 20 1.0000243609717745, 20 1.0000404072306994, 20 1.0000564534897))",Q353033000000,12,equatorial,quad,"(np.float64(20.000084675439044), np.float64(0.9999842453247972))",300.9987482656006,300.99874820744327,5.815735448777559e-08
6,"POLYGON ((19.999999999999996 1.0000564534897, 20.00005645029269 1.0000564534897, 20.000112900585385 1.0000564534897, 20.00016935087808 1.0000564534897, 20.000225801170775 1.0000564534897, 20.000282251463467 1.0000564534897, 20.000338701756167 1.0000564534897, 20.00039515204886 1.0000564534897, 20.000451602341556 1.0000564534897, 20.000508052634245 1.0000564534897, 20.000508052634245 1.0000083147129264, 20.000508052634245 0.9999601759368396, 20.000508052634245 0.9999120371614401, 20.000508052634245 0.9998638983867272, 20.000508052634245 0.9998157596127015, 20.000508052634245 0.9997676208393628, 20.000508052634245 0.9997194820667111, 20.000508052634245 0.9996713432947459, 20.000508052634245 0.9996232045234681, 20.000451602341556 0.9996232045234681, 20.00039515204886 0.9996232045234681, 20.000338701756167 0.9996232045234681, 20.000282251463467 0.9996232045234681, 20.000225801170775 0.9996232045234681, 20.00016935087808 0.9996232045234681, 20.000112900585385 0.9996232045234681, 20.00005645029269 0.9996232045234681, 19.999999999999996 0.9996232045234681, 19.999999999999996 0.9996713432947459, 19.999999999999996 0.9997194820667111, 19.999999999999996 0.9997676208393628, 19.999999999999996 0.9998157596127015, 19.999999999999996 0.9998638983867272, 19.999999999999996 0.9999120371614401, 19.999999999999996 0.9999601759368396, 19.999999999999996 1.0000083147129264, 19.999999999999996 1.0000564534897))",Q35303300000,11,equatorial,quad,"(np.float64(20.000254026317123), np.float64(0.9998398289996288))",2708.988734390406,2708.988734360512,2.989418135257438e-08
7,"POLYGON ((19.999999999999996 1.0000564534897, 20.00016935087808 1.0000564534897, 20.000338701756167 1.0000564534897, 20.000508052634245 1.0000564534897, 20.000677403512334 1.0000564534897, 20.000846754390416 1.0000564534897, 20.001016105268505 1.0000564534897, 20.001185456146583 1.0000564534897, 20.001354807024672 1.0000564534897, 20.001524157902754 1.0000564534897, 20.001524157902754 0.9999120371614401, 20.001524157902754 0.9997676208393628, 20.001524157902754 0.9996232045234681, 20.001524157902754 0.9994787882137546, 20.001524157902754 0.9993343719102216, 20.001524157902754 0.9991899556128682, 20.001524157902754 0.9990455393216932, 20.001524157902754 0.9989011230366964, 20.001524157902754 0.9987567067578762, 20.001354807024672 0.9987567067578762, 20.001185456146583 0.9987567067578762, 20.001016105268505 0.9987567067578762, 20.000846754390416 0.9987567067578762, 20.000677403512334 0.9987567067578762, 20.000508052634245 0.9987567067578762, 20.000338701756167 0.9987567067578762, 20.00016935087808 0.9987567067578762, 19.999999999999996 0.9987567067578762, 19.999999999999996 0.9989011230366964, 19.999999999999996 0.9990455393216932, 19.999999999999996 0.9991899556128682, 19.999999999999996 0.9993343719102216, 19.999999999999996 0.9994787882137546, 19.999999999999996 0.9996232045234681, 19.999999999999996 0.9997676208393628, 19.999999999999996 0.9999120371614401, 19.999999999999996 1.0000564534897))",Q3530330000,10,equatorial,quad,"(np.float64(20.00076207895138), np.float64(0.9994065800612156))",24380.898609513646,24380.8986093328,1.8084756447933614e-07
8,"POLYGON ((19.999999999999996 1.0000564534897, 20.000508052634245 1.0000564534897, 20.001016105268505 1.0000564534897, 20.001524157902754 1.0000564534897, 20.00203221053701 1.0000564534897, 20.002540263171262 1.0000564534897, 20.00304831580551 1.0000564534897, 20.00355636843977 1.0000564534897, 20.00406442107402 1.0000564534897, 20.00457247370827 1.0000564534897, 20.00457247370827 0.9996232045234681, 20.00457247370827 0.9991899556128682, 20.00457247370827 0.9987567067578762, 20.00457247370827 0.9983234579584681, 20.00457247370827 0.9978902092146199, 20.00457247370827 0.9974569605263073, 20.00457247370827 0.9970237118935059, 20.00457247370827 0.9965904633161926, 20.00457247370827 0.9961572147943417, 20.00406442107402 0.9961572147943417, 20.003556368439764 0.9961572147943417, 20.00304831580551 0.9961572147943417, 20.002540263171262 0.9961572147943417, 20.002032210537006 0.9961572147943417, 20.001524157902754 0.9961572147943417, 20.001016105268498 0.9961572147943417, 20.000508052634245 0.9961572147943417, 19.999999999999996 0.9961572147943417, 19.999999999999996 0.9965904633161926, 19.999999999999996 0.9970237118935059, 19.999999999999996 0.9974569605263073, 19.999999999999996 0.9978902092146199, 19.999999999999996 0.9983234579584681, 19.999999999999996 0.9987567067578762, 19.999999999999996 0.9991899556128682, 19.999999999999996 0.9996232045234681, 19.999999999999996 1.0000564534897))",Q353033000,9,equatorial,quad,"(np.float64(20.002286236854136), np.float64(0.9981068335796006))",219428.08748562282,219428.087484577,1.045817043632269e-06
9,"POLYGON ((20 1.0000564534897, 20.001524157902757 1.0000564534897, 20.003048315805515 1.0000564534897, 20.004572473708276 1.0000564534897, 20.006096631611037 1.0000564534897, 20.007620789513794 1.0000564534897, 20.009144947416555 1.0000564534897, 20.010669105319312 1.0000564534897, 20.01219326322207 1.0000564534897, 20.013717421124827 1.0000564534897, 20.013717421124827 0.9987567067578762, 20.013717421124827 0.9974569605263073, 20.013717421124827 0.9961572147943417, 20.013717421124827 0.9948574695613283, 20.013717421124827 0.9935577248266154, 20.013717421124827 0.9922579805895513, 20.013717421124827 0.9909582368494841, 20.013717421124827 0.9896584936057633, 20.013717421124827 0.9883587508577366, 20.01219326322207 0.9883587508577366, 20.010669105319312 0.9883587508577366, 20.009144947416555 0.9883587508577366, 20.00762078951379 0.9883587508577366, 20.006096631611033 0.9883587508577366, 20.004572473708276 0.9883587508577366, 20.003048315805515 0.9883587508577366, 20.001524157902757 0.9883587508577366, 20 0.9883587508577366, 20 0.9896584936057633, 20 0.9909582368494841, 20 0.9922579805895513, 20 0.9935577248266154, 20 0.9948574695613283, 20 0.9961572147943417, 20 0.9974569605263073, 20 0.9987567067578762, 20 1.0000564534897))",Q35303300,8,equatorial,quad,"(np.float64(20.006858710562415), np.float64(0.9942075971317251))",1974852.7873706059,1974852.7873683085,2.2973399609327316e-06
