,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N000,north_polar,dart,116613082241.44687,"(np.float64(90.0), np.float64(43.82963567250707))",N000,116613082241.44688,"(90.0, 37.57460240468588)",116613082221.52187,116613082230.05057,1547330.2103642132,1395122.9225036378,3 ** 8.0,0.6120559563335254,0.7528911455614598,0.6119160258451328,0.752719016813063
1,N001,north_polar,skew_quad,116613082241.44687,"(np.float64(86.53846153846155), np.float64(43.82963567250707))",N001,116613082241.44688,"(87.21008827632711, 38.78021537612621)",116613082240.69522,116613082241.15628,1540011.4080648422,1396227.2174320319,3 ** 8.0,0.6178872909564025,0.7517006730866324,0.6177460272867745,0.7515288165084236
2,N002,north_polar,skew_quad,116613082241.44687,"(np.float64(83.07692307692308), np.float64(43.82963567250707))",N002,116613082241.44688,"(84.2981469889468, 39.93421738275703)",116613082240.93834,116613082241.2368,1518284.8338165537,1393241.8375288395,3 ** 8.0,0.6356976863055729,0.7549255495106747,0.6355523507577214,0.7547529556493328
3,N003,north_polar,skew_quad,116613082241.44687,"(np.float64(93.46153846153844), np.float64(43.82963567250707))",N003,116613082241.44688,"(92.78991172367293, 38.78021537612619)",116613082240.69766,116613082241.15724,1540011.4080648462,1396227.2174318975,3 ** 8.0,0.6178872909564121,0.7517006730867832,0.6177460272867843,0.7515288165085745
4,N004,north_polar,dart,116613082241.44687,"(np.float64(90.0), np.float64(47.57255099833462))",N004,116613082241.44688,"(90.0, 41.890793246238246)",116613082223.22362,116613082231.15227,1548783.6428326312,1395237.532343706,3 ** 8.0,0.6109077461373732,0.7527674602637434,0.6107680781570253,0.7525953597927336
5,N005,north_polar,skew_quad,116613082241.44687,"(np.float64(86.24999999999997), np.float64(47.57255099833462))",N005,116613082241.44688,"(86.97213012896066, 43.073037045374086)",116613082240.51344,116613082241.06712,1539841.8428048547,1395951.73642079,3 ** 8.0,0.6180233802405948,0.7519973877775034,0.6178820854577335,0.7518254633632886
6,N006,north_polar,skew_quad,116613082241.44687,"(np.float64(96.92307692307689), np.float64(43.82963567250707))",N006,116613082241.44688,"(95.70185301105319, 39.93421738275702)",116613082240.93857,116613082241.23775,1518284.8338165286,1393241.8375289098,3 ** 8.0,0.6356976863055952,0.7549255495106044,0.6355523507577435,0.7547529556492627
7,N007,north_polar,skew_quad,116613082241.44687,"(np.float64(93.75), np.float64(47.57255099833462))",N007,116613082241.44688,"(93.02786987103934, 43.07303704537409)",116613082240.51273,116613082241.0676,1539841.8428048554,1395951.7364208514,3 ** 8.0,0.6180233802405903,0.7519973877774401,0.617882085457729,0.7518254633632255
8,N008,north_polar,dart,116613082241.44687,"(np.float64(89.99999999999997), np.float64(51.26628847474888))",N008,116613082241.44688,"(90.0, 46.132598394098125)",116613082224.72523,116613082232.12094,1550139.1401343937,1395931.8275202175,3 ** 8.0,0.6098398139487079,0.752018837976465,0.609700390122951,0.75184690865824
9,N010,north_polar,skew_quad,116613082241.44687,"(np.float64(79.61538461538463), np.float64(43.82963567250707))",N010,116613082241.44688,"(81.26169657831244, 41.02847524857257)",116613082241.15868,116613082241.317,1498009.3676040154,1390526.5043484136,3 ** 8.0,0.6530224021753225,0.7578767709660463,0.6528731057870799,0.7577035023855787
10,N011,north_polar,skew_quad,116613082241.44687,"(np.float64(76.15384615384615), np.float64(43.82963567250707))",N011,116613082241.44688,"(78.09976717670587, 42.054537471035445)",116613082241.35918,116613082241.3975,1479280.738616667,1388067.9784636472,3 ** 8.0,0.6696624287656139,0.7605638292044511,0.6695093280731664,0.7603899462988261
11,N012,north_polar,skew_quad,116613082241.44687,"(np.float64(72.6923076923077), np.float64(43.82963567250707))",N012,116613082241.44688,"(74.81327366551551, 43.003755069883375)",116613082241.53902,116613082241.47327,1462194.9920133317,1385858.2076300264,3 ** 8.0,0.6854038731753532,0.7629912228376696,0.6852471736158708,0.7628167849723659
12,N013,north_polar,skew_quad,116613082241.44687,"(np.float64(82.5), np.float64(47.57255099833462))",N013,116613082241.44688,"(83.80076524177377, 44.200720099104075)",116613082240.83347,116613082241.18057,1515712.9543857125,1392507.3955034942,3 ** 8.0,0.6378568350932723,0.7557220914407399,0.6377110059128677,0.7555493154710465
13,N014,north_polar,skew_quad,116613082241.44687,"(np.float64(78.74999999999999), np.float64(47.57255099833462))",N014,116613082241.44688,"(80.48297728461611, 45.264208166104815)",116613082241.12459,116613082241.29398,1493342.067364457,1389373.976024583,3 ** 8.0,0.6571107012563183,0.7591346565266035,0.6569604701860726,0.7589611003637032
14,N015,north_polar,skew_quad,116613082241.44687,"(np.float64(74.99999999999999), np.float64(47.57255099833462))",N015,116613082241.44688,"(77.01800303053705, 46.253480826087184)",116613082241.38657,116613082241.40274,1472859.0756556229,1386543.0432880837,3 ** 8.0,0.6755146127768805,0.7622377019748653,0.6753601741365567,0.7620634363822785
15,N016,north_polar,skew_quad,116613082241.44687,"(np.float64(85.90909090909089), np.float64(51.26628847474886))",N016,116613082241.44688,"(86.68981101420238, 47.2938240894127)",116613082240.27702,116613082240.95686,1539407.102410871,1396164.1721553346,3 ** 8.0,0.6183724986317479,0.7517685623033526,0.6182311240321536,0.7515966902040614
16,N017,north_polar,skew_quad,116613082241.44687,"(np.float64(81.8181818181818), np.float64(51.26628847474886))",N017,116613082241.44688,"(83.20847645890706, 48.39652988024037)",116613082240.71033,116613082241.11743,1512558.4528904222,1392129.3811411816,3 ** 8.0,0.6405201616109022,0.7561325598836058,0.6403737235309739,0.7559596900711043
