,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N,north_polar,cap,85010936954014.78,"(np.float64(-180.0), np.float64(90.0))",N,85010936954014.8,"(-135.0, 89.99999999999999)",85010936952902.45,85010936953471.36,29855277.64836696,31385277.130530912,3 ** 11.0,1.198512141612726,1.084507928173879,0.9987601180132188,0.9037566068127214
1,O,equatorial,quad,85010936954014.78,"(np.float64(-134.99999999999997), np.float64(0.0))",O,85010936954014.8,"(-135.0, 0.0)",85010936953661.34,85010936953473.45,33506575.41139563,31362065.195461188,3 ** 11.0,0.9515345937968225,1.0861138711032206,0.7929454948313448,0.9050948925871698
2,P,equatorial,quad,85010936954014.78,"(np.float64(-45.0), np.float64(0.0))",P,85010936954014.8,"(-45.0, 0.0)",85010936953661.1,85010936953473.95,33506575.41133673,31362065.19546692,3 ** 11.0,0.951534593800165,1.0861138711028298,0.7929454948341307,0.9050948925868432
3,Q,equatorial,quad,85010936954014.78,"(np.float64(45.0), np.float64(0.0))",Q,85010936954014.8,"(45.0, 0.0)",85010936953661.78,85010936953472.6,33506575.411344662,31362065.19546598,3 ** 11.0,0.9515345937997223,1.0861138711028777,0.7929454948337605,0.9050948925868858
4,R,equatorial,quad,85010936954014.78,"(np.float64(134.99999999999997), np.float64(0.0))",R,85010936954014.8,"(135.0, 0.0)",85010936953661.06,85010936953472.97,33506575.411384247,31362065.195461348,3 ** 11.0,0.951534593797466,1.0861138711032032,0.7929454948318816,0.9050948925871564
5,S,south_polar,cap,85010936954014.78,"(np.float64(-180.0), np.float64(-90.0))",S,85010936954014.8,"(-135.0, -90.0)",85010936952895.34,85010936953470.0,29855277.64844479,31385277.130530737,3 ** 11.0,1.198512141606377,1.0845079281738736,0.9987601180079446,0.9037566068127199
