,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N00,north_polar,dart,1049517740173.0219,"(np.float64(90.0), np.float64(47.57255099833462))",N00,1049517740173.022,"(90.0, 41.890793246238246)",1049517740114.1569,1049517740140.3799,4555150.714643924,4158129.7045696257,3 ** 9.0,0.63561501242431,0.7627875282631572,0.6343071626045802,0.7612180066001131
1,N01,north_polar,skew_quad,1049517740173.0219,"(np.float64(78.74999999999999), np.float64(47.57255099833462))",N01,1049517740173.022,"(80.48297728461611, 45.264208166104815)",1049517740169.4163,1049517740171.4003,4489501.399858964,4167939.5485366536,3 ** 9.0,0.6543399332052169,0.7592010939854053,0.6529935547418364,0.7576389518167135
2,N02,north_polar,skew_quad,1049517740173.0219,"(np.float64(67.5), np.float64(47.57255099833462))",N02,1049517740173.022,"(69.65762170876047, 47.96849076491791)",1049517740175.994,1049517740174.2792,4322596.975878266,4146043.3306239466,3 ** 9.0,0.7058463241483481,0.7672413038439636,0.7043939654566809,0.765662618033583
3,N03,north_polar,skew_quad,1049517740173.0219,"(np.float64(101.24999999999999), np.float64(47.57255099833462))",N03,1049517740173.022,"(99.51702271538389, 45.2642081661048)",1049517740169.4116,1049517740171.3906,4489501.39985924,4167939.5485366764,3 ** 9.0,0.6543399332051333,0.7592010939853899,0.6529935547417529,0.7576389518166982
4,N04,north_polar,dart,1049517740173.0219,"(np.float64(89.99999999999996), np.float64(58.52801748206219))",N04,1049517740173.022,"(90.0, 54.42857041628252)",1049517740121.8282,1049517740146.0,4543409.155884521,4162382.2459602454,3 ** 9.0,0.6389045046322991,0.7612297047321122,0.6375898863100745,0.7596633884672717
5,N05,north_polar,skew_quad,1049517740173.0219,"(np.float64(74.99999999999999), np.float64(58.528017482062175))",N05,1049517740173.022,"(77.01800303053705, 57.57261423103951)",1049517740168.5066,1049517740170.7607,4436947.392026445,4160647.538847864,3 ** 9.0,0.6699325650831239,0.7618645991275523,0.6685541030150575,0.760296976495606
6,N06,north_polar,skew_quad,1049517740173.0219,"(np.float64(112.5), np.float64(47.57255099833462))",N06,1049517740173.022,"(110.34237829123957, 47.96849076491791)",1049517740175.995,1049517740174.2784,4322596.975877636,4146043.3306239154,3 ** 9.0,0.7058463241485546,0.7672413038439746,0.7043939654568868,0.765662618033594
7,N07,north_polar,skew_quad,1049517740173.0219,"(np.float64(104.99999999999999), np.float64(58.52801748206219))",N07,1049517740173.022,"(102.98199696946294, 57.57261423103951)",1049517740168.5055,1049517740170.7733,4436947.3920267075,4160647.5388477114,3 ** 9.0,0.6699325650830439,0.7618645991276174,0.6685541030149776,0.760296976495671
8,N08,north_polar,dart,1049517740173.0219,"(np.float64(90.0), np.float64(69.1776528070817))",N08,1049517740173.022,"(90.00000000000006, 66.51551105595978)",1049517740116.8281,1049517740144.8708,4496177.6321514,4160303.9943651566,3 ** 9.0,0.6523981584444448,0.7619904289454908,0.6510557754024499,0.7604225474044928
9,N10,north_polar,skew_quad,1049517740173.0219,"(np.float64(56.249999999999986), np.float64(47.57255099833462))",N10,1049517740173.022,"(57.67736314591963, 49.7357510977115)",1049517740179.9316,1049517740176.3041,4217155.054495359,4132517.6484875088,3 ** 9.0,0.7415842703090105,0.7722718665861478,0.7400583767486939,0.7706828298236199
10,N11,north_polar,skew_quad,1049517740173.0219,"(np.float64(45.0), np.float64(47.57255099833462))",N11,1049517740173.022,"(45.0, 50.35249226159346)",1049517740181.252,1049517740177.0267,4181013.85583485,4127899.3079886395,3 ** 9.0,0.754460373645016,0.7740008862916916,0.7529079860449112,0.7724082918754475
