,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N,north_polar,cap,85010936954014.78,"(np.float64(-180.0), np.float64(90.0))",N,85010936954014.8,"(-135.0, 89.99999999999999)",85010936951982.42,85010936953022.03,29855277.648411997,31385277.13053162,2 ** 17.0,1.1985121415961393,1.084507928168098,0.9987601180015583,0.9037566068088593
1,O,equatorial,quad,85010936954014.78,"(np.float64(-134.99999999999997), np.float64(0.0))",O,85010936954014.8,"(-135.0, 0.0)",85010936953362.69,85010936953020.44,33506575.41142211,31362065.195460558,2 ** 17.0,0.9515345937919756,1.0861138710974763,0.7929454948278628,0.9050948925833476
2,P,equatorial,quad,85010936954014.78,"(np.float64(-45.0), np.float64(0.0))",P,85010936954014.8,"(-45.0, 0.0)",85010936953362.78,85010936953019.03,33506575.4114239,31362065.19546216,2 ** 17.0,0.9515345937918752,1.0861138710973472,0.7929454948277791,0.9050948925832432
3,Q,equatorial,quad,85010936954014.78,"(np.float64(45.0), np.float64(0.0))",Q,85010936954014.8,"(45.0, 0.0)",85010936953362.9,85010936953017.45,33506575.41142852,31362065.195461858,2 ** 17.0,0.9515345937916141,1.0861138710973481,0.7929454948275613,0.9050948925832472
4,R,equatorial,quad,85010936954014.78,"(np.float64(134.99999999999997), np.float64(0.0))",R,85010936954014.8,"(135.0, 0.0)",85010936953361.05,85010936953021.31,33506575.411414463,31362065.19546161,2 ** 17.0,0.9515345937923917,1.0861138710974148,0.7929454948282127,0.9050948925832946
5,S,south_polar,cap,85010936954014.78,"(np.float64(-180.0), np.float64(-90.0))",S,85010936954014.8,"(-135.0, -90.0)",85010936951981.73,85010936953018.45,29855277.648500685,31385277.13052942,2 ** 17.0,1.198512141589009,1.0845079281682046,0.998760117995618,0.9037566068089555
