,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N00,north_polar,dart,5313183559625.924,"(np.float64(89.99999999999997), np.float64(54.462349381867774))",N00,5313183559625.925,"(90.0, 49.790347452557654)",5313183559391.419,5313183559499.817,9865420.230204064,9231664.943400942,2 ** 15.0,0.6860148320825892,0.7834379710808217,0.678868844248711,0.7752771588822569
1,N01,north_polar,skew_quad,5313183559625.924,"(np.float64(60.00000000000001), np.float64(54.462349381867746))",N01,5313183559625.925,"(61.777284326629704, 55.86077219624554)",5313183559681.868,5313183559653.382,9670867.351243308,9320598.408139326,2 ** 15.0,0.7138941635098757,0.7685587863210908,0.7064577659732362,0.7605529656302048
2,N02,north_polar,skew_quad,5313183559625.924,"(np.float64(119.99999999999997), np.float64(54.462349381867774))",N02,5313183559625.925,"(118.22271567337035, 55.86077219624554)",5313183559681.977,5313183559653.4,9670867.351238262,9320598.408139495,2 ** 15.0,0.7138941635106352,0.7685587863210656,0.7064577659739876,0.7605529656301796
3,N03,north_polar,dart,5313183559625.924,"(np.float64(89.99999999999999), np.float64(78.3350454509881))",N03,5313183559625.925,"(90.0000000000001, 76.85828595674964)",5313183559097.92,5313183559365.554,9238664.296275536,9059644.228329863,2 ** 15.0,0.7822513316059738,0.8134716040485923,0.7741028802358879,0.8049979415068348
4,N10,north_polar,skew_quad,5313183559625.924,"(np.float64(29.999999999999993), np.float64(54.462349381867746))",N10,5313183559625.925,"(28.222715673370345, 55.860772196245556)",5313183559681.969,5313183559653.504,9670867.35124032,9320598.408139251,2 ** 15.0,0.7138941635103302,0.7685587863211206,0.7064577659736858,0.7605529656302342
5,N11,north_polar,dart,5313183559625.924,"(np.float64(1.2722218725854067e-14), np.float64(54.462349381867746))",N11,5313183559625.925,"(0.0, 49.79034745255767)",5313183559391.435,5313183559499.873,9865420.23019298,9231664.9434012,2 ** 15.0,0.6860148320841327,0.783437971080786,0.6788688442502384,0.7752771588822215
6,N12,north_polar,dart,5313183559625.924,"(np.float64(-5.088887490341627e-14), np.float64(78.3350454509881))",N12,5313183559625.925,"(-5.088887490341627e-14, 76.85828595674964)",5313183559097.99,5313183559365.566,9238664.296275916,9059644.228329968,2 ** 15.0,0.7822513316059199,0.8134716040485755,0.7741028802358344,0.8049979415068181
7,N13,north_polar,skew_quad,5313183559625.924,"(np.float64(-30.000000000000004), np.float64(54.46234938186776))",N13,5313183559625.925,"(-28.222715673370345, 55.860772196245556)",5313183559681.86,5313183559653.298,9670867.351237752,9320598.40813912,2 ** 15.0,0.7138941635106949,0.7685587863211123,0.706457765974047,0.7605529656302261
8,N20,north_polar,skew_quad,5313183559625.924,"(np.float64(149.99999999999994), np.float64(54.462349381867774))",N20,5313183559625.925,"(151.7772843266297, 55.860772196245534)",5313183559681.971,5313183559653.438,9670867.35123957,9320598.408139197,2 ** 15.0,0.7138941635104412,0.7685587863211201,0.7064577659737957,0.7605529656302337
9,N21,north_polar,dart,5313183559625.924,"(np.float64(-180.0), np.float64(78.33504545098812))",N21,5313183559625.925,"(-179.99999999999994, 76.85828595674961)",5313183559097.888,5313183559365.386,9238664.296271594,9059644.22833003,2 ** 15.0,0.7822513316066365,0.8134716040485369,0.7741028802365438,0.8049979415067802
10,N22,north_polar,dart,5313183559625.924,"(np.float64(-180.0), np.float64(54.462349381867774))",N22,5313183559625.925,"(-179.99999999999997, 49.79034745255764)",5313183559391.453,5313183559499.923,9865420.230201574,9231664.943400703,2 ** 15.0,0.6860148320829398,0.7834379710808776,0.6788688442490578,0.7752771588823121
11,N23,north_polar,skew_quad,5313183559625.924,"(np.float64(-150.00000000000003), np.float64(54.462349381867774))",N23,5313183559625.925,"(-151.77728432662968, 55.86077219624552)",5313183559681.873,5313183559653.454,9670867.351240277,9320598.408139065,2 ** 15.0,0.7138941635103236,0.7685587863211442,0.7064577659736795,0.7605529656302574
12,N30,north_polar,dart,5313183559625.924,"(np.float64(-89.99999999999986), np.float64(78.3350454509881))",N30,5313183559625.925,"(-90.0000000000001, 76.85828595674961)",5313183559097.985,5313183559365.529,9238664.296278434,9059644.228329938,2 ** 15.0,0.7822513316054927,0.8134716040485752,0.7741028802354118,0.8049979415068179
13,N31,north_polar,skew_quad,5313183559625.924,"(np.float64(-59.99999999999997), np.float64(54.46234938186776))",N31,5313183559625.925,"(-61.777284326629704, 55.860772196245534)",5313183559681.986,5313183559653.271,9670867.351240564,9320598.408139447,2 ** 15.0,0.7138941635102966,0.7685587863210547,0.7064577659736525,0.7605529656301692
14,N32,north_polar,skew_quad,5313183559625.924,"(np.float64(-119.99999999999997), np.float64(54.462349381867774))",N32,5313183559625.925,"(-118.22271567337035, 55.86077219624553)",5313183559681.898,5313183559653.495,9670867.351238085,9320598.408139266,2 ** 15.0,0.7138941635106508,0.768558786321117,0.7064577659740031,0.7605529656302304
15,N33,north_polar,dart,5313183559625.924,"(np.float64(-89.99999999999997), np.float64(54.46234938186776))",N33,5313183559625.925,"(-90.00000000000004, 49.79034745255765)",5313183559391.35,5313183559499.736,9865420.230201425,9231664.943400849,2 ** 15.0,0.6860148320829472,0.7834379710808256,0.6788688442490655,0.7752771588822609
16,O00,equatorial,quad,5313183559625.924,"(np.float64(-168.75), np.float64(30.111251718648248))",O00,5313183559625.925,"(-165.98223276725997, 27.342726855588563)",5313183559556.937,5313183559499.827,9191022.820356961,9230985.848741438,2 ** 15.0,0.7903819166250905,0.7835532454666291,0.7821487716603527,0.775391232493212
17,O01,equatorial,quad,5313183559625.924,"(np.float64(-146.25), np.float64(30.111251718648248))",O01,5313183559625.925,"(-146.12244136555924, 32.72989141363312)",5313183559556.974,5313183559653.379,9191022.820358034,9319575.52587045,2 ** 15.0,0.7903819166249115,0.7687275039402849,0.7821487716601756,0.7607199257741989
18,O02,equatorial,quad,5313183559625.924,"(np.float64(-168.75), np.float64(9.636338620241146))",O02,5313183559625.925,"(-168.1084309420947, 9.392711775797261)",5313183559601.433,5313183559653.477,9191385.987030992,9321976.390625607,2 ** 15.0,0.7903194593044763,0.7683315850866801,0.7820869649367593,0.7603281310753189
19,O03,equatorial,quad,5313183559625.924,"(np.float64(-146.25), np.float64(9.636338620241146))",O03,5313183559625.925,"(-144.41581150301073, 9.332163924622392)",5313183559601.436,5313183559365.499,9191385.987031974,9059104.9927332,2 ** 15.0,0.790319459304308,0.8135684493553447,0.7820869649365926,0.8050937780083085
20,O10,equatorial,quad,5313183559625.924,"(np.float64(-123.74999999999999), np.float64(30.111251718648248))",O10,5313183559625.925,"(-123.87755863444077, 32.72989141363312)",5313183559556.823,5313183559653.245,9191022.820352525,9319575.52587074,2 ** 15.0,0.7903819166258368,0.7687275039402175,0.7821487716610914,0.7607199257741324
