,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N0,north_polar,dart,9445659661557.2,"(np.float64(90.0), np.float64(58.52801748206219))",N0,9445659661557.197,"(90.0, 54.42857041628252)",9445659661389.816,9445659661467.781,12827512.031382995,12192486.856975693,3 ** 9.999999999999998,0.7213687026301544,0.798468090922668,0.7080100229520548,0.7836816447946104
1,N1,north_polar,skew_quad,9445659661557.2,"(np.float64(44.999999999999964), np.float64(58.52801748206219))",N1,9445659661557.197,"(45.00000000000005, 60.54830580620648)",9445659661647.578,9445659661602.635,13038164.876491752,12498702.019395825,3 ** 9.999999999999998,0.6982472276251085,0.7598228134819177,0.6853167234097051,0.7457520206395922
2,N2,north_polar,dart,9445659661557.2,"(np.float64(0.0), np.float64(58.52801748206219))",N2,9445659661557.197,"(2.5444437451708134e-14, 54.428570416282525)",9445659661389.797,9445659661467.723,12827512.031398784,12192486.856975373,3 ** 9.999999999999998,0.721368702628377,0.7984680909227051,0.7080100229503105,0.783681644794647
3,N3,north_polar,skew_quad,9445659661557.2,"(np.float64(135.0), np.float64(58.52801748206219))",N3,9445659661557.197,"(135.00000000000006, 60.54830580620648)",9445659661647.707,9445659661602.648,13038164.876492448,12498702.01939591,3 ** 9.999999999999998,0.6982472276250433,0.7598228134819084,0.6853167234096409,0.745752020639583
4,N4,north_polar,cap,9445659661557.2,"(np.float64(-180.0), np.float64(90.0))",N4,9445659661557.197,"(159.65762170876044, 89.99999999999997)",9445659660443.088,9445659661012.98,10794370.596662022,11187890.437008157,3 ** 9.999999999999998,1.0187028205676951,0.9482999944518926,0.9998379535223704,0.9307388834445359
5,N5,north_polar,skew_quad,9445659661557.2,"(np.float64(-44.99999999999998), np.float64(58.52801748206219))",N5,9445659661557.197,"(-45.00000000000003, 60.5483058062065)",9445659661647.613,9445659661602.486,13038164.87650322,12498702.019395372,3 ** 9.999999999999998,0.6982472276238828,0.7598228134819609,0.6853167234085019,0.7457520206396347
6,N6,north_polar,dart,9445659661557.2,"(np.float64(-180.0), np.float64(58.52801748206219))",N6,9445659661557.197,"(-179.99999999999997, 54.42857041628252)",9445659661389.775,9445659661467.748,12827512.031376015,12192486.856975783,3 ** 9.999999999999998,0.7213687026309361,0.7984680909226537,0.7080100229528223,0.7836816447945963
7,N7,north_polar,skew_quad,9445659661557.2,"(np.float64(-134.99999999999994), np.float64(58.52801748206219))",N7,9445659661557.197,"(-135.00000000000006, 60.54830580620647)",9445659661647.855,9445659661602.355,13038164.876491563,12498702.019395633,3 ** 9.999999999999998,0.6982472276251492,0.7598228134819185,0.6853167234097445,0.7457520206395934
8,N8,north_polar,dart,9445659661557.2,"(np.float64(-90.0), np.float64(58.52801748206219))",N8,9445659661557.197,"(-90.00000000000004, 54.428570416282525)",9445659661389.65,9445659661467.865,12827512.031395035,12192486.856975524,3 ** 9.999999999999998,0.7213687026287875,0.7984680909226975,0.7080100229507135,0.7836816447946393
9,O0,equatorial,quad,9445659661557.2,"(np.float64(-165.0), np.float64(26.490118751439734))",O0,9445659661557.197,"(-161.92944004832287, 24.462028254889507)",9445659661498.822,9445659661467.621,12181050.947485358,12191320.55407905,3 ** 9.999999999999998,0.7999680428053977,0.7986208717782226,0.7851538197905744,0.7838315963750625
10,O1,equatorial,quad,9445659661557.2,"(np.float64(-134.99999999999997), np.float64(26.490118751439734))",O1,9445659661557.197,"(-135.00000000000003, 29.671922540371927)",9445659661498.924,9445659661602.486,12181050.947487218,12496949.678603549,3 ** 9.999999999999998,0.799968042805162,0.7600359153820421,0.7851538197903429,0.745961176208233
11,O2,equatorial,quad,9445659661557.2,"(np.float64(-105.00000000000001), np.float64(26.490118751439734))",O2,9445659661557.197,"(-108.07055995167714, 24.462028254889507)",9445659661498.86,9445659661467.686,12181050.94748419,12191320.554079533,3 ** 9.999999999999998,0.7999680428055543,0.7986208717781648,0.7851538197907281,0.7838315963750055
12,O3,equatorial,quad,9445659661557.2,"(np.float64(-165.0), np.float64(0.0))",O3,9445659661557.197,"(-164.5616628441972, 3.8454347565407674e-15)",9445659661537.83,9445659661602.549,12216319.89694973,12500309.525714656,3 ** 9.999999999999998,0.7953556382129423,0.7596274036905478,0.780626830097918,0.7455602295480628
13,O4,equatorial,quad,9445659661557.2,"(np.float64(-134.99999999999997), np.float64(0.0))",O4,9445659661557.197,"(-135.00000000000003, 0.0)",9445659661537.771,9445659661013.146,12216319.896950198,11186736.210525874,3 ** 9.999999999999998,0.7953556382128765,0.94849569218056,0.7806268300978535,0.9309309571411909
14,O5,equatorial,quad,9445659661557.2,"(np.float64(-105.00000000000001), np.float64(0.0))",O5,9445659661557.197,"(-105.43833715580281, 3.845434756540767e-15)",9445659661537.777,9445659661602.258,12216319.8969457,12500309.525713773,3 ** 9.999999999999998,0.7953556382134626,0.7596274036906318,0.7806268300984288,0.7455602295481455
15,O6,equatorial,quad,9445659661557.2,"(np.float64(-165.0), np.float64(-26.490118751439734))",O6,9445659661557.197,"(-161.92944004832287, -24.462028254889486)",9445659661498.795,9445659661467.672,12181050.947468117,12191320.554078996,3 ** 9.999999999999998,0.7999680428076599,0.7986208717782339,0.7851538197927949,0.7838315963750735
16,O7,equatorial,quad,9445659661557.2,"(np.float64(-134.99999999999997), np.float64(-26.490118751439734))",O7,9445659661557.197,"(-135.00000000000003, -29.671922540371906)",9445659661498.695,9445659661602.967,12181050.947470427,12496949.67860283,3 ** 9.999999999999998,0.799968042807348,0.7600359153821682,0.7851538197924889,0.7459611762083561
