,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N00000,north_polar,dart,83018493119.15506,"(np.float64(90.0), np.float64(43.53497542415357))",N00000,83018493119.15508,"(90.0, 37.23397637031379)",83018493088.40652,83018493101.51506,1307444.5285232607,1177736.3742736457,2 ** 12.0,0.6102926872978519,0.7521224174844718,0.6101933558058155,0.7520000017264438
1,N00001,north_polar,skew_quad,83018493119.15506,"(np.float64(87.0967741935484), np.float64(43.53497542415357))",N00001,83018493119.15508,"(87.66824482105116, 38.256036813887135)",83018493118.14874,83018493118.77199,1302248.58246865,1178524.5852054732,2 ** 12.0,0.6151725148148455,0.7511166976534169,0.6150723890800135,0.7509944455867421
2,N00002,north_polar,skew_quad,83018493119.15506,"(np.float64(92.90322580645163), np.float64(43.53497542415357))",N00002,83018493119.15508,"(92.33175517894885, 38.256036813887114)",83018493118.14725,83018493118.77151,1302248.5824687153,1178524.5852055564,2 ** 12.0,0.6151725148147728,0.7511166976533066,0.6150723890799408,0.7509944455866318
3,N00003,north_polar,dart,83018493119.15506,"(np.float64(90.00000000000003), np.float64(46.699933190048824))",N00003,83018493119.15508,"(90.0, 40.88621863265468)",83018493090.69666,83018493102.99458,1308581.9787864415,1177751.351633197,2 ** 12.0,0.6092321868778705,0.7521032882712679,0.6091330279933216,0.7519808756267164
4,N00010,north_polar,skew_quad,83018493119.15506,"(np.float64(84.19354838709675), np.float64(43.53497542415357))",N00010,83018493119.15508,"(85.25099452409918, 39.24236874656084)",83018493118.41344,83018493118.85747,1286679.9699074656,1176373.703666825,2 ** 12.0,0.6301495489367809,0.7538658920317033,0.6300469855336346,0.7537431925050059
5,N00011,north_polar,skew_quad,83018493119.15506,"(np.float64(81.29032258064515), np.float64(43.53497542415357))",N00011,83018493119.15508,"(82.74659512331667, 40.18819931992119)",83018493118.65964,83018493118.94383,1271952.9439956283,1174386.4583528098,2 ** 12.0,0.6448261190394757,0.7564193683165409,0.644721166871664,0.7562962531849793
6,N00012,north_polar,skew_quad,83018493119.15506,"(np.float64(86.89655172413792), np.float64(46.699933190048846))",N00012,83018493119.15508,"(87.50430493926794, 41.89148445244382)",83018493117.93999,83018493118.67216,1302413.111593922,1178312.1837292083,2 ** 12.0,0.6150170996046114,0.7513875132763279,0.614916999165224,0.7512652171315896
7,N00013,north_polar,skew_quad,83018493119.15506,"(np.float64(83.79310344827586), np.float64(46.699933190048846))",N00013,83018493119.15508,"(84.91077107461061, 42.85946627088625)",83018493118.27626,83018493118.78644,1285389.738109597,1175892.4616418232,2 ** 12.0,0.6314152304830287,0.7544830678321451,0.6313124610770268,0.7543602678536573
8,N00020,north_polar,skew_quad,83018493119.15506,"(np.float64(95.80645161290323), np.float64(43.53497542415357))",N00020,83018493119.15508,"(94.74900547590093, 39.24236874656081)",83018493118.41205,83018493118.85666,1286679.9699074572,1176373.7036668528,2 ** 12.0,0.6301495489367785,0.7538658920316604,0.6300469855336323,0.753743192504963
9,N00021,north_polar,skew_quad,83018493119.15506,"(np.float64(93.10344827586208), np.float64(46.699933190048824))",N00021,83018493119.15508,"(92.49569506073206, 41.891484452443805)",83018493117.94107,83018493118.67224,1302413.1115939212,1178312.1837292206,2 ** 12.0,0.61501709960462,0.7513875132763129,0.6149169991652328,0.7512652171315746
10,N00022,north_polar,skew_quad,83018493119.15506,"(np.float64(98.70967741935482), np.float64(43.53497542415357))",N00022,83018493119.15508,"(97.25340487668345, 40.18819931992117)",83018493118.65878,83018493118.94313,1271952.9439955796,1174386.458352868,2 ** 12.0,0.6448261190395185,0.7564193683164595,0.6447211668717068,0.7562962531848979
11,N00023,north_polar,skew_quad,83018493119.15506,"(np.float64(96.20689655172414), np.float64(46.699933190048824))",N00023,83018493119.15508,"(95.0892289253895, 42.85946627088625)",83018493118.27805,83018493118.78676,1285389.7381095174,1175892.461641914,2 ** 12.0,0.6314152304831206,0.7544830678320316,0.6313124610771186,0.7543602678535438
12,N00030,north_polar,dart,83018493119.15506,"(np.float64(89.99999999999997), np.float64(49.82890952910627))",N00030,83018493119.15508,"(90.00000000000006, 44.483891639562316)",83018493092.77805,83018493104.32915,1309699.162450409,1178155.4533950733,2 ** 12.0,0.608193270510889,0.7515874410063367,0.6080942807207983,0.7514651123212989
13,N00031,north_polar,skew_quad,83018493119.15506,"(np.float64(86.66666666666666), np.float64(49.828909529106234))",N00031,83018493119.15508,"(87.31557511811195, 45.473869312797426)",83018493117.68608,83018493118.55266,1302475.111157116,1178440.7205496568,2 ** 12.0,0.6149585497177196,0.7512236090703449,0.6148584588079365,0.7511013396027237
14,N00032,north_polar,skew_quad,83018493119.15506,"(np.float64(93.3333333333333), np.float64(49.82890952910627))",N00032,83018493119.15508,"(92.68442488188813, 45.473869312797405)",83018493117.68738,83018493118.55365,1302475.1111570771,1178440.7205497103,2 ** 12.0,0.6149585497177659,0.7512236090702856,0.6148584588079828,0.7511013396026645
15,N00033,north_polar,dart,83018493119.15506,"(np.float64(89.99999999999996), np.float64(52.92533684065946))",N00033,83018493119.15508,"(90.0000000000001, 48.03266719557258)",83018493094.65363,83018493105.5276,1310723.4048645182,1178826.4956958008,2 ** 12.0,0.6072431174267857,0.7507320082309277,0.6071442822840045,0.750609818776483
16,N00100,north_polar,skew_quad,83018493119.15506,"(np.float64(78.38709677419354), np.float64(43.53497542415357))",N00100,83018493119.15508,"(80.15408106054223, 41.088580790229024)",83018493118.88618,83018493119.02881,1258114.6567936896,1172554.9875977172,2 ** 12.0,0.6590893081991575,0.7587841902607138,0.6589820345487347,0.758660690229747
17,N00101,north_polar,skew_quad,83018493119.15506,"(np.float64(75.48387096774194), np.float64(43.53497542415357))",N00101,83018493119.15508,"(77.47332847143443, 41.93843511016499)",83018493119.09439,83018493119.11244,1245212.6773808098,1170873.6853427931,2 ** 12.0,0.6728180641732844,0.7609648892249431,0.6727085560248188,0.760841034262504
