,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N0000,north_polar,dart,332073972476.62024,"(np.float64(90.00000000000003), np.float64(45.122177151629295))",N0000,332073972476.6203,"(90.0, 39.06729598363853)",332073972415.5213,332073972442.0983,2594462.9984933115,2349006.3546193,2 ** 13.0,0.6199401140517344,0.7562690338782628,0.619536507206723,0.7557766712260496
1,N0001,north_polar,skew_quad,332073972476.62024,"(np.float64(83.99999999999999), np.float64(45.12217715162933))",N0001,332073972476.6203,"(85.08676056080667, 41.05776574410301)",332073972473.2773,332073972475.2592,2573461.8575572143,2352113.4431811995,2 ** 13.0,0.6300996378426434,0.7542723251138784,0.6296894167242605,0.7537812624022178
2,N0002,north_polar,skew_quad,332073972476.62024,"(np.float64(96.00000000000001), np.float64(45.122177151629295))",N0002,332073972476.6203,"(94.91323943919335, 41.05776574410298)",332073972473.28143,332073972475.2529,2573461.8575572413,2352113.443181194,2 ** 13.0,0.6300996378426382,0.7542723251138678,0.6296894167242552,0.753781262402207
3,N0003,north_polar,dart,332073972476.62024,"(np.float64(89.99999999999997), np.float64(51.380987280164405))",N0003,332073972476.6203,"(90.0, 46.26405832892603)",332073972422.94183,332073972447.00574,2596464.1939800885,2350170.9763609017,2 ** 13.0,0.6189848586349469,0.7555196848955826,0.6185818737010049,0.7550278101007726
4,N0010,north_polar,skew_quad,332073972476.62024,"(np.float64(78.00000000000001), np.float64(45.12217715162933))",N0010,332073972476.6203,"(79.80173736320036, 42.881761124188955)",332073972475.43207,332073972476.0509,2513818.536582008,2344068.1676280852,2 ** 13.0,0.6603540607809814,0.7594588146511705,0.659924142772662,0.7589643753187161
5,N0011,north_polar,skew_quad,332073972476.62024,"(np.float64(72.0), np.float64(45.12217715162933))",N0011,332073972476.6203,"(74.14126279426951, 44.49638746789939)",332073972477.22455,332073972476.81384,2462324.4896915476,2337319.4922510018,2 ** 13.0,0.6882625394143111,0.7638508033078883,0.6878144518235458,0.7633535046078177
6,N0012,north_polar,skew_quad,332073972476.62024,"(np.float64(83.07692307692307), np.float64(51.38098728016437))",N0012,332073972476.6203,"(84.2981469889468, 48.1892373376512)",332073972471.9203,332073972474.56976,2567650.327650622,2351216.2215651227,2 ** 13.0,0.6329551566725935,0.7548480939860758,0.6325430764924739,0.75435665642489
7,N0013,north_polar,skew_quad,332073972476.62024,"(np.float64(76.15384615384615), np.float64(51.38098728016437))",N0013,332073972476.6203,"(78.09976717670587, 49.92453165098927)",332073972475.391,332073972475.973,2497254.8101294865,2340861.427061765,2 ** 13.0,0.6691430705114296,0.7615410015561607,0.668707430491567,0.7610452066332735
8,N0020,north_polar,skew_quad,332073972476.62024,"(np.float64(102.00000000000001), np.float64(45.122177151629295))",N0020,332073972476.6203,"(100.19826263679964, 42.88176112418893)",332073972475.43256,332073972476.05365,2513818.536582146,2344068.167628011,2 ** 13.0,0.66035406078091,0.7594588146512247,0.6599241427725907,0.7589643753187704
9,N0021,north_polar,skew_quad,332073972476.62024,"(np.float64(96.9230769230769), np.float64(51.380987280164405))",N0021,332073972476.6203,"(95.70185301105315, 48.18923733765121)",332073972471.92285,332073972474.57654,2567650.3276505806,2351216.2215651064,2 ** 13.0,0.6329551566726188,0.7548480939861016,0.6325430764924992,0.7543566564249158
10,N0022,north_polar,skew_quad,332073972476.62024,"(np.float64(107.99999999999999), np.float64(45.122177151629295))",N0022,332073972476.6203,"(105.85873720573053, 44.49638746789936)",332073972477.2246,332073972476.81824,2462324.4896917166,2337319.4922509096,2 ** 13.0,0.6882625394142168,0.7638508033079586,0.6878144518234516,0.763353504607888
