,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
10,N022,north_polar,skew_quad,1328295889906.481,"(np.float64(128.57142857142858), np.float64(48.268698328675924))",N022,1328295889906.4812,"(127.70766119231347, 50.79955262332035)",1328295889925.1401,1328295889915.4941,4718100.897546385,4645281.0204635365,2 ** 14.0,0.7498428325958001,0.7735363173357882,0.7478901168858877,0.7715218998427127
11,N023,north_polar,skew_quad,1328295889906.481,"(np.float64(125.99999999999997), np.float64(60.544416474940675))",N023,1328295889906.4812,"(124.82232626887397, 62.16006172822172)",1328295889941.4844,1328295889923.8796,4722871.2336545,4640214.680382834,2 ** 14.0,0.7483288400834026,0.775226384617488,0.7463800670623008,0.7732075659075202
12,N030,north_polar,dart,1328295889906.481,"(np.float64(89.99999999999999), np.float64(72.46140571909436))",N030,1328295889906.4812,"(90.0000000000001, 70.22843988228743)",1328295889772.9524,1328295889840.1926,4993295.356535636,4663911.400624084,2 ** 14.0,0.6694685528751795,0.7673687506694512,0.6677251451855757,0.7653703945480159
13,N031,north_polar,skew_quad,1328295889906.481,"(np.float64(60.00000000000001), np.float64(72.46140571909436))",N031,1328295889906.4812,"(61.777284326629704, 73.13453387271038)",1328295889960.8062,1328295889932.9482,4829230.959775582,4662837.789030087,2 ** 14.0,0.7157292078339682,0.7677221624738833,0.713865329688491,0.7657228860090677
14,N032,north_polar,skew_quad,1328295889906.481,"(np.float64(119.99999999999997), np.float64(72.46140571909436))",N032,1328295889906.4812,"(118.22271567337035, 73.13453387271036)",1328295889960.8389,1328295889932.9434,4829230.959775624,4662837.7890299605,2 ** 14.0,0.7157292078339734,0.7677221624739221,0.7138653296884961,0.7657228860091065
15,N033,north_polar,dart,1328295889906.481,"(np.float64(90.00000000000003), np.float64(84.175685712166))",N033,1328295889906.4812,"(90.0000000000001, 83.4408141985089)",1328295889393.191,1328295889655.1504,4637659.076054706,4546824.588302593,2 ** 14.0,0.7760810041656144,0.8073991594652835,0.7740599598847142,0.8052965574879071
16,N100,north_polar,skew_quad,1328295889906.481,"(np.float64(38.57142857142856), np.float64(48.26869832867589))",N100,1328295889906.4812,"(37.707661192313466, 50.79955262332037)",1328295889925.1272,1328295889915.4868,4718100.897548161,4645281.020463336,2 ** 14.0,0.7498428325952282,0.7735363173358506,0.7478901168853174,0.771521899842775
17,N101,north_polar,skew_quad,1328295889906.481,"(np.float64(25.71428571428572), np.float64(48.26869832867589))",N101,1328295889906.4812,"(23.661539730253303, 49.258119065886895)",1328295889916.7092,1328295889911.0657,4823552.1758300075,4658669.626247228,2 ** 14.0,0.717415460573458,0.7690965558977646,0.7155471911448669,0.7670937002834406
18,N102,north_polar,skew_quad,1328295889906.481,"(np.float64(35.99999999999999), np.float64(60.54441647494063))",N102,1328295889906.4812,"(34.82232626887403, 62.16006172822178)",1328295889941.4822,1328295889923.8696,4722871.233654186,4640214.680383015,2 ** 14.0,0.7483288400835009,0.7752263846174214,0.7463800670623987,0.7732075659074538
19,N103,north_polar,skew_quad,1328295889906.481,"(np.float64(18.000000000000018), np.float64(60.54441647494063))",N103,1328295889906.4812,"(15.858737205730515, 60.146985942895405)",1328295889901.708,1328295889903.8145,4946146.882185388,4673676.337778762,2 ** 14.0,0.6822926212230069,0.7641654995523878,0.6805158175219117,0.7621754852306408
20,N110,north_polar,skew_quad,1328295889906.481,"(np.float64(12.857142857142858), np.float64(48.26869832867589))",N110,1328295889906.4812,"(10.984034593408758, 46.428044083428546)",1328295889899.8096,1328295889903.383,5023765.619433177,4684642.904950078,2 ** 14.0,0.6613722274114802,0.7605919237195133,0.6596499039026047,0.7586112155848317
21,N111,north_polar,dart,1328295889906.481,"(np.float64(-1.90833280887811e-14), np.float64(48.26869832867589))",N111,1328295889906.4812,"(0.0, 42.69150860592514)",1328295889785.8782,1328295889839.8892,5105927.876760677,4672075.542537162,2 ** 14.0,0.6402584824915785,0.7646892419292218,0.6385911426935746,0.762697863695131
22,N112,north_polar,dart,1328295889906.481,"(np.float64(2.5444437451708134e-14), np.float64(60.54441647494063))",N112,1328295889906.4812,"(-2.5444437451708134e-14, 56.723474584750164)",1328295889799.838,1328295889850.8127,5082726.096439104,4676313.266057214,2 ** 14.0,0.6461171661904158,0.7633039312877336,0.6444345694035968,0.7613161606334217
23,N113,north_polar,skew_quad,1328295889906.481,"(np.float64(-12.857142857142858), np.float64(48.268698328675875))",N113,1328295889906.4812,"(-10.984034593408758, 46.428044083428546)",1328295889899.8013,1328295889903.3901,5023765.619433788,4684642.904950145,2 ** 14.0,0.6613722274113151,0.7605919237194956,0.65964990390244,0.7586112155848139
24,N120,north_polar,skew_quad,1328295889906.481,"(np.float64(29.999999999999993), np.float64(72.46140571909436))",N120,1328295889906.4812,"(28.222715673370395, 73.13453387271039)",1328295889960.8372,1328295889932.9558,4829230.959776417,4662837.789030083,2 ** 14.0,0.7157292078337373,0.7677221624738889,0.7138653296882607,0.7657228860090732
25,N121,north_polar,dart,1328295889906.481,"(np.float64(4.4527765540489235e-14), np.float64(72.46140571909436))",N121,1328295889906.4812,"(0.0, 70.22843988228746)",1328295889772.9583,1328295889840.233,4993295.356535857,4663911.400623948,2 ** 14.0,0.6694685528751233,0.7673687506695193,0.6677251451855196,0.7653703945480836
26,N122,north_polar,dart,1328295889906.481,"(np.float64(3.180554681463517e-14), np.float64(84.175685712166))",N122,1328295889906.4812,"(1.0177774980683254e-13, 83.44081419850892)",1328295889393.2078,1328295889655.1702,4637659.076054864,4546824.588302588,2 ** 14.0,0.7760810041655716,0.8073991594652972,0.7740599598846714,0.8052965574879207
27,N123,north_polar,skew_quad,1328295889906.481,"(np.float64(-29.99999999999998), np.float64(72.46140571909436))",N123,1328295889906.4812,"(-28.22271567337033, 73.13453387271039)",1328295889960.8174,1328295889932.941,4829230.959775318,4662837.789029971,2 ** 14.0,0.7157292078340525,0.7677221624739174,0.713865329688575,0.7657228860091018
28,N130,north_polar,skew_quad,1328295889906.481,"(np.float64(-17.999999999999982), np.float64(60.54441647494066))",N130,1328295889906.4812,"(-15.858737205730515, 60.14698594289539)",1328295889901.6814,1328295889903.796,4946146.882185539,4673676.3377785925,2 ** 14.0,0.6822926212229516,0.7641654995524325,0.6805158175218565,0.7621754852306855
29,N131,north_polar,skew_quad,1328295889906.481,"(np.float64(-25.71428571428571), np.float64(48.268698328675875))",N131,1328295889906.4812,"(-23.661539730253303, 49.258119065886895)",1328295889916.6973,1328295889911.0237,4823552.175829543,4658669.626247266,2 ** 14.0,0.7174154605735896,0.7690965558977277,0.7155471911449982,0.767093700283404
30,N132,north_polar,skew_quad,1328295889906.481,"(np.float64(-35.999999999999986), np.float64(60.54441647494066))",N132,1328295889906.4812,"(-34.82232626887399, 62.16006172822175)",1328295889941.4875,1328295889923.8667,4722871.233654277,4640214.680382954,2 ** 14.0,0.748328840083475,0.7752263846174402,0.7463800670623729,0.7732075659074725
31,N133,north_polar,skew_quad,1328295889906.481,"(np.float64(-38.57142857142856), np.float64(48.268698328675875))",N133,1328295889906.4812,"(-37.707661192313445, 50.79955262332037)",1328295889925.1245,1328295889915.499,4718100.897548609,4645281.020463361,2 ** 14.0,0.7498428325950843,0.7735363173358494,0.7478901168851739,0.7715218998427736
32,N200,north_polar,skew_quad,1328295889906.481,"(np.float64(141.42857142857142), np.float64(48.268698328675924))",N200,1328295889906.4812,"(142.29233880768658, 50.79955262332037)",1328295889925.1152,1328295889915.5112,4718100.897546065,4645281.020463543,2 ** 14.0,0.7498428325958878,0.773536317335796,0.7478901168859753,0.7715218998427202
33,N201,north_polar,skew_quad,1328295889906.481,"(np.float64(143.99999999999997), np.float64(60.544416474940675))",N201,1328295889906.4812,"(145.17767373112602, 62.16006172822172)",1328295889941.467,1328295889923.8745,4722871.23365449,4640214.6803828655,2 ** 14.0,0.7483288400833962,0.7752263846174744,0.7463800670622942,0.7732075659075065
34,N202,north_polar,skew_quad,1328295889906.481,"(np.float64(154.28571428571428), np.float64(48.268698328675924))",N202,1328295889906.4812,"(156.33846026974672, 49.25811906588688)",1328295889916.7017,1328295889911.0593,4823552.17582797,4658669.626247175,2 ** 14.0,0.71741546057406,0.7690965558977786,0.7155471911454673,0.7670937002834545
35,N203,north_polar,skew_quad,1328295889906.481,"(np.float64(162.0), np.float64(60.544416474940675))",N203,1328295889906.4812,"(164.14126279426947, 60.146985942895355)",1328295889901.68,1328295889903.7793,4946146.882187169,4673676.337778562,2 ** 14.0,0.6822926212225012,0.764165499552433,0.6805158175214074,0.7621754852306859
36,N210,north_polar,skew_quad,1328295889906.481,"(np.float64(149.99999999999994), np.float64(72.46140571909436))",N210,1328295889906.4812,"(151.7772843266297, 73.13453387271035)",1328295889960.808,1328295889932.9524,4829230.959775828,4662837.789030013,2 ** 14.0,0.7157292078338965,0.7677221624739102,0.7138653296884194,0.7657228860090945
37,N211,north_polar,dart,1328295889906.481,"(np.float64(-180.0), np.float64(84.17568571216609))",N211,1328295889906.4812,"(-179.9999999999999, 83.44081419850887)",1328295889393.193,1328295889655.143,4637659.076054371,4546824.588302542,2 ** 14.0,0.7760810041657279,0.8073991594652967,0.7740599598848275,0.8052965574879204
38,N212,north_polar,dart,1328295889906.481,"(np.float64(-180.0), np.float64(72.46140571909436))",N212,1328295889906.4812,"(179.99999999999997, 70.22843988228743)",1328295889772.9526,1328295889840.2124,4993295.356536409,4663911.400623997,2 ** 14.0,0.6694685528749724,0.7673687506694915,0.6677251451853692,0.7653703945480561
39,N213,north_polar,skew_quad,1328295889906.481,"(np.float64(-150.00000000000003), np.float64(72.46140571909436))",N213,1328295889906.4812,"(-151.77728432662968, 73.13453387271035)",1328295889960.8157,1328295889932.9373,4829230.959775239,4662837.789030025,2 ** 14.0,0.7157292078340749,0.7677221624738975,0.7138653296885974,0.7657228860090819
40,N220,north_polar,skew_quad,1328295889906.481,"(np.float64(167.14285714285714), np.float64(48.268698328675924))",N220,1328295889906.4812,"(169.01596540659128, 46.42804408342852)",1328295889899.7947,1328295889903.378,5023765.6194313895,4684642.904949938,2 ** 14.0,0.6613722274119432,0.7605919237195558,0.6596499039030667,0.758611215584874
41,N221,north_polar,dart,1328295889906.481,"(np.float64(-180.0), np.float64(60.544416474940675))",N221,1328295889906.4812,"(179.99999999999997, 56.72347458475013)",1328295889799.8262,1328295889850.8213,5082726.096442274,4676313.266057153,2 ** 14.0,0.6461171661896041,0.7633039312877582,0.6444345694027871,0.7613161606334463
42,N222,north_polar,dart,1328295889906.481,"(np.float64(-179.99999999999994), np.float64(48.26869832867589))",N222,1328295889906.4812,"(-179.99999999999997, 42.691508605925115)",1328295889785.8635,1328295889839.9104,5105927.876756161,4672075.542537168,2 ** 14.0,0.6402584824927039,0.7646892419292323,0.6385911426946972,0.7626978636951414
43,N223,north_polar,skew_quad,1328295889906.481,"(np.float64(-167.1428571428571), np.float64(48.26869832867589))",N223,1328295889906.4812,"(-169.01596540659128, 46.428044083428496)",1328295889899.7976,1328295889903.3552,5023765.619431327,4684642.904950068,2 ** 14.0,0.6613722274119611,0.7605919237195004,0.6596499039030845,0.7586112155848188
44,N230,north_polar,skew_quad,1328295889906.481,"(np.float64(-162.0), np.float64(60.544416474940675))",N230,1328295889906.4812,"(-164.1412627942695, 60.14698594289537)",1328295889901.664,1328295889903.812,4946146.882187128,4673676.337778637,2 ** 14.0,0.6822926212225043,0.7641654995524273,0.6805158175214104,0.7621754852306802
45,N231,north_polar,skew_quad,1328295889906.481,"(np.float64(-144.00000000000003), np.float64(60.544416474940675))",N231,1328295889906.4812,"(-145.17767373112602, 62.16006172822174)",1328295889941.4587,1328295889923.88,4722871.23365439,4640214.680382877,2 ** 14.0,0.748328840083423,0.7752263846174738,0.7463800670623211,0.7732075659075061
46,N232,north_polar,skew_quad,1328295889906.481,"(np.float64(-154.28571428571428), np.float64(48.26869832867589))",N232,1328295889906.4812,"(-156.33846026974672, 49.258119065886866)",1328295889916.6882,1328295889911.0369,4823552.175827854,4658669.626247131,2 ** 14.0,0.717415460574087,0.7690965558977799,0.7155471911454944,0.7670937002834559
47,N233,north_polar,skew_quad,1328295889906.481,"(np.float64(-141.42857142857142), np.float64(48.26869832867589))",N233,1328295889906.4812,"(-142.29233880768655, 50.79955262332037)",1328295889925.1147,1328295889915.512,4718100.8975459775,4645281.020463334,2 ** 14.0,0.7498428325959153,0.7735363173358659,0.7478901168860027,0.77152189984279
48,N300,north_polar,dart,1328295889906.481,"(np.float64(-89.99999999999977), np.float64(84.175685712166))",N300,1328295889906.4812,"(-90.00000000000027, 83.44081419850889)",1328295889393.1936,1328295889655.1594,4637659.076053684,4546824.588302586,2 ** 14.0,0.7760810041659583,0.8073991594652912,0.7740599598850572,0.8052965574879147
49,N301,north_polar,skew_quad,1328295889906.481,"(np.float64(-59.99999999999996), np.float64(72.46140571909436))",N301,1328295889906.4812,"(-61.77728432662973, 73.13453387271038)",1328295889960.812,1328295889932.942,4829230.959775148,4662837.789029927,2 ** 14.0,0.7157292078341001,0.7677221624739324,0.7138653296886225,0.7657228860091169
50,N302,north_polar,skew_quad,1328295889906.481,"(np.float64(-119.99999999999997), np.float64(72.46140571909436))",N302,1328295889906.4812,"(-118.2227156733704, 73.13453387271036)",1328295889960.801,1328295889932.9316,4829230.959775157,4662837.789029959,2 ** 14.0,0.7157292078340913,0.767722162473916,0.7138653296886138,0.7657228860091004
51,N303,north_polar,dart,1328295889906.481,"(np.float64(-90.00000000000001), np.float64(72.46140571909436))",N303,1328295889906.4812,"(-90.00000000000007, 70.22843988228743)",1328295889772.9731,1328295889840.2148,4993295.356536017,4663911.400623949,2 ** 14.0,0.6694685528750879,0.7673687506695086,0.6677251451854842,0.7653703945480732
52,N310,north_polar,skew_quad,1328295889906.481,"(np.float64(-53.99999999999997), np.float64(60.54441647494066))",N310,1328295889906.4812,"(-55.177673731126056, 62.16006172822174)",1328295889941.492,1328295889923.8694,4722871.233654442,4640214.680383003,2 ** 14.0,0.7483288400834253,0.7752263846174254,0.7463800670623232,0.7732075659074577
53,N311,north_polar,skew_quad,1328295889906.481,"(np.float64(-51.4285714285714), np.float64(48.268698328675875))",N311,1328295889906.4812,"(-52.29233880768658, 50.799552623320395)",1328295889925.1375,1328295889915.5166,4718100.897548537,4645281.020463283,2 ** 14.0,0.7498428325951146,0.7735363173358857,0.7478901168852041,0.7715218998428097
54,N312,north_polar,skew_quad,1328295889906.481,"(np.float64(-72.0), np.float64(60.54441647494066))",N312,1328295889906.4812,"(-74.14126279426951, 60.14698594289539)",1328295889901.671,1328295889903.8176,4946146.882187308,4673676.337778762,2 ** 14.0,0.6822926212224583,0.7641654995523895,0.6805158175213645,0.7621754852306427
55,N313,north_polar,skew_quad,1328295889906.481,"(np.float64(-64.28571428571428), np.float64(48.268698328675875))",N313,1328295889906.4812,"(-66.33846026974672, 49.25811906588689)",1328295889916.6858,1328295889911.0315,4823552.175829819,4658669.626247176,2 ** 14.0,0.7174154605735013,0.769096555897762,0.7155471911449099,0.767093700283438
56,N320,north_polar,skew_quad,1328295889906.481,"(np.float64(-125.99999999999997), np.float64(60.544416474940675))",N320,1328295889906.4812,"(-124.82232626887402, 62.16006172822174)",1328295889941.4978,1328295889923.8784,4722871.233654475,4640214.680382805,2 ** 14.0,0.7483288400834182,0.7752263846174969,0.7463800670623162,0.773207565907529
57,N321,north_polar,skew_quad,1328295889906.481,"(np.float64(-107.99999999999999), np.float64(60.544416474940675))",N321,1328295889906.4812,"(-105.85873720573053, 60.146985942895384)",1328295889901.6748,1328295889903.8186,4946146.882187172,4673676.337778605,2 ** 14.0,0.6822926212224978,0.7641654995524416,0.680515817521404,0.7621754852306946
58,N322,north_polar,skew_quad,1328295889906.481,"(np.float64(-128.57142857142858), np.float64(48.26869832867589))",N322,1328295889906.4812,"(-127.70766119231347, 50.79955262332035)",1328295889925.1238,1328295889915.5044,4718100.8975461265,4645281.020463424,2 ** 14.0,0.749842832595873,0.7735363173358317,0.7478901168859605,0.771521899842756
59,N323,north_polar,skew_quad,1328295889906.481,"(np.float64(-115.71428571428571), np.float64(48.26869832867589))",N323,1328295889906.4812,"(-113.66153973025332, 49.25811906588688)",1328295889916.6943,1328295889911.0483,4823552.175828852,4658669.626247249,2 ** 14.0,0.7174154605737937,0.7690965558977478,0.7155471911452017,0.7670937002834238
60,N330,north_polar,dart,1328295889906.481,"(np.float64(-89.99999999999999), np.float64(60.54441647494066))",N330,1328295889906.4812,"(-90.00000000000001, 56.72347458475014)",1328295889799.8394,1328295889850.8303,5082726.096442309,4676313.266057126,2 ** 14.0,0.6461171661896016,0.7633039312877722,0.6444345694027845,0.7613161606334602
61,N331,north_polar,skew_quad,1328295889906.481,"(np.float64(-77.14285714285711), np.float64(48.268698328675875))",N331,1328295889906.4812,"(-79.01596540659129, 46.428044083428546)",1328295889899.8137,1328295889903.383,5023765.619432324,4684642.904950191,2 ** 14.0,0.6613722274117068,0.7605919237194764,0.6596499039028307,0.7586112155847948
62,N332,north_polar,skew_quad,1328295889906.481,"(np.float64(-102.85714285714286), np.float64(48.26869832867589))",N332,1328295889906.4812,"(-100.98403459340875, 46.42804408342852)",1328295889899.7842,1328295889903.3955,5023765.619433498,4684642.9049502155,2 ** 14.0,0.6613722274113829,0.7605919237194756,0.6596499039025077,0.758611215584794
63,N333,north_polar,dart,1328295889906.481,"(np.float64(-89.99999999999997), np.float64(48.268698328675875))",N333,1328295889906.4812,"(-90.00000000000001, 42.69150860592512)",1328295889785.8765,1328295889839.9194,5105927.876758951,4672075.542537276,2 ** 14.0,0.6402584824920107,0.7646892419292021,0.6385911426940057,0.7626978636951113
64,O000,equatorial,quad,1328295889906.481,"(np.float64(-174.37499999999997), np.float64(35.807009652689125))",O000,1328295889906.4812,"(-172.59457129743058, 31.500333470041987)",1328295889884.9214,1328295889839.8992,4641811.530585773,4671916.76911011,2 ** 14.0,0.7746930981956117,0.7647412181953509,0.7726756682524267,0.7627497046064003
65,O001,equatorial,quad,1328295889906.481,"(np.float64(-163.12499999999997), np.float64(35.807009652689125))",O001,1328295889906.4812,"(-163.12891809227781, 35.05655649107052)",1328295889884.9326,1328295889903.3958,4641811.530585774,4683982.322939198,2 ** 14.0,0.7746930981956179,0.7608064714000506,0.772675668252433,0.7588252045474508
66,O002,equatorial,quad,1328295889906.481,"(np.float64(-174.37499999999997), np.float64(24.721673381714922))",O002,1328295889906.4812,"(-173.3827273951268, 22.828331211352843)",1328295889893.7383,1328295889903.3984,4604175.312930327,4685432.700805278,2 ** 14.0,0.7874101144333616,0.7603355283093506,0.7853595672603777,0.7583554878710496
67,O003,equatorial,quad,1328295889906.481,"(np.float64(-163.12499999999997), np.float64(24.721673381714922))",O003,1328295889906.4812,"(-159.99259920831938, 22.996271576819222)",1328295889893.7422,1328295889850.8218,4604175.312930326,4675981.163617427,2 ** 14.0,0.7874101144333643,0.7634123594832366,0.7853595672603803,0.7614243064638323
68,O010,equatorial,quad,1328295889906.481,"(np.float64(-151.875), np.float64(35.807009652689125))",O010,1328295889906.4812,"(-152.47676940263983, 37.67547459364755)",1328295889884.9192,1328295889911.0269,4641811.530585649,4658316.582076028,2 ** 14.0,0.7746930981956517,0.7692131367872229,0.7726756682524667,0.7672099775768327
69,O011,equatorial,quad,1328295889906.481,"(np.float64(-140.625), np.float64(35.807009652689125))",O011,1328295889906.4812,"(-140.93681995064276, 39.07303100130085)",1328295889884.9294,1328295889915.5112,4641811.530585537,4645115.136401058,2 ** 14.0,0.7746930981956953,0.7735915666177767,0.7726756682525101,0.7715770052463625
70,O012,equatorial,quad,1328295889906.481,"(np.float64(-151.875), np.float64(24.721673381714922))",O012,1328295889906.4812,"(-150.6815626445213, 25.96473692181795)",1328295889893.74,1328295889903.8323,4604175.312930439,4672887.887618843,2 ** 14.0,0.7874101144333245,0.7644233945650203,0.7853595672603406,0.7624327086416778
71,O013,equatorial,quad,1328295889906.481,"(np.float64(-140.625), np.float64(24.721673381714922))",O013,1328295889906.4812,"(-140.35527084118758, 27.573944622450924)",1328295889893.7417,1328295889923.896,4604175.312930562,4639849.851361911,2 ** 14.0,0.7874101144332835,0.7753483007187294,0.7853595672602997,0.7733291645189145
72,O020,equatorial,quad,1328295889906.481,"(np.float64(-174.37499999999997), np.float64(14.539764060139051))",O020,1328295889906.4812,"(-173.86733662420596, 13.833606962911917)",1328295889898.9778,1328295889911.0398,4609649.774293406,4659480.293054609,2 ** 14.0,0.7855409544012057,0.7688289608987313,0.7834952748324642,0.766826802146384
73,O021,equatorial,quad,1328295889906.481,"(np.float64(-163.12499999999997), np.float64(14.539764060139051))",O021,1328295889906.4812,"(-161.72693538270332, 14.137129931662015)",1328295889898.981,1328295889903.816,4609649.774293405,4674370.250153538,2 ** 14.0,0.7855409544012081,0.7639386349656386,0.7834952748324665,0.7619492114370864
74,O022,equatorial,quad,1328295889906.481,"(np.float64(-174.37499999999997), np.float64(4.8015545941779685))",O022,1328295889906.4812,"(-174.09824253752123, 4.634549659228103)",1328295889901.485,1328295889915.48,4618396.857631568,4646103.92432553,2 ** 14.0,0.7825681976190864,0.7732623287803181,0.780530259604461,0.7712486247991057
75,O023,equatorial,quad,1328295889906.481,"(np.float64(-163.12499999999997), np.float64(4.8015545941779685))",O023,1328295889906.4812,"(-162.5714794273857, 4.771283596424487)",1328295889901.4885,1328295889923.8696,4618396.857631562,4640764.160191511,2 ** 14.0,0.7825681976190902,0.7750428174235078,0.7805302596044648,0.7730244767531077
76,O030,equatorial,quad,1328295889906.481,"(np.float64(-151.875), np.float64(14.539764060139051))",O030,1328295889906.4812,"(-149.32267269525218, 13.954956878677866)",1328295889898.98,1328295889840.2256,4609649.774293563,4663696.447170783,2 ** 14.0,0.7855409544011535,0.7674394895634293,0.783495274832412,0.7654409492261244
77,O031,equatorial,quad,1328295889906.481,"(np.float64(-140.625), np.float64(14.539764060139051))",O031,1328295889906.4812,"(-140.02349725753118, 16.264447144235238)",1328295889898.9783,1328295889932.9607,4609649.774293745,4662243.8054272365,2 ** 14.0,0.7855409544010905,0.7679177950679266,0.7834952748323493,0.7659180091432306
78,O032,equatorial,quad,1328295889906.481,"(np.float64(-151.875), np.float64(4.8015545941779685))",O032,1328295889906.4812,"(-151.25472673445398, 4.845214047955154)",1328295889901.4863,1328295889932.9421,4618396.857631582,4663388.310334515,2 ** 14.0,0.7825681976190823,0.7675409112329112,0.780530259604457,0.7655421067765357
79,O033,equatorial,quad,1328295889906.481,"(np.float64(-140.625), np.float64(4.8015545941779685))",O033,1328295889906.4812,"(-139.66895309052614, 4.674329763453383)",1328295889901.4875,1328295889655.1208,4618396.857631582,4546752.938365288,2 ** 14.0,0.782568197619083,0.8074246064406144,0.7805302596044577,0.8053219381950734
80,O100,equatorial,quad,1328295889906.481,"(np.float64(-129.375), np.float64(35.807009652689125))",O100,1328295889906.4812,"(-129.06318004935727, 39.07303100130087)",1328295889884.9294,1328295889915.4805,4641811.530585682,4645115.136401178,2 ** 14.0,0.7746930981956469,0.773591566617719,0.7726756682524618,0.771577005246305
81,O101,equatorial,quad,1328295889906.481,"(np.float64(-118.125), np.float64(35.807009652689125))",O101,1328295889906.4812,"(-117.52323059736018, 37.67547459364754)",1328295889884.9246,1328295889911.0322,4641811.530586044,4658316.58207607,2 ** 14.0,0.774693098195523,0.7692131367872123,0.7726756682523384,0.7672099775768219
82,O102,equatorial,quad,1328295889906.481,"(np.float64(-129.375), np.float64(24.721673381714922))",O102,1328295889906.4812,"(-129.64472915881245, 27.573944622450924)",1328295889893.7432,1328295889923.901,4604175.312930722,4639849.851362036,2 ** 14.0,0.7874101144332294,0.7753483007186904,0.7853595672602458,0.7733291645188757
83,O103,equatorial,quad,1328295889906.481,"(np.float64(-118.125), np.float64(24.721673381714922))",O103,1328295889906.4812,"(-119.31843735547872, 25.96473692181796)",1328295889893.7397,1328295889903.801,4604175.312931099,4672887.88761901,2 ** 14.0,0.7874101144330984,0.7644233945649475,0.7853595672601152,0.7624327086416053
