,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N000,north_polar,dart,1328295889906.481,"(np.float64(89.99999999999997), np.float64(48.268698328675924))",N000,1328295889906.4812,"(90.0, 42.69150860592512)",1328295889785.8735,1328295889839.9182,5105927.876757458,4672075.542537018,2 ** 14.0,0.6402584824923836,0.7646892419292858,0.6385911426943778,0.7626978636951948
1,N001,north_polar,skew_quad,1328295889906.481,"(np.float64(77.14285714285712), np.float64(48.26869832867589))",N001,1328295889906.4812,"(79.01596540659129, 46.428044083428546)",1328295889899.7961,1328295889903.392,5023765.6194321485,4684642.9049499445,2 ** 14.0,0.6613722274117442,0.7605919237195616,0.6596499039028679,0.7586112155848799
2,N002,north_polar,skew_quad,1328295889906.481,"(np.float64(102.85714285714283), np.float64(48.268698328675924))",N002,1328295889906.4812,"(100.98403459340875, 46.42804408342853)",1328295889899.78,1328295889903.4058,5023765.619432223,4684642.9049501,2 ** 14.0,0.6613722274117165,0.760591923719519,0.6596499039028406,0.7586112155848374
3,N003,north_polar,dart,1328295889906.481,"(np.float64(89.99999999999994), np.float64(60.544416474940675))",N003,1328295889906.4812,"(90.0000000000001, 56.723474584750136)",1328295889799.8289,1328295889850.796,5082726.096442348,4676313.266056957,2 ** 14.0,0.6461171661895865,0.7633039312878077,0.6444345694027696,0.7613161606334958
4,N010,north_polar,skew_quad,1328295889906.481,"(np.float64(64.28571428571429), np.float64(48.26869832867589))",N010,1328295889906.4812,"(66.33846026974672, 49.25811906588689)",1328295889916.683,1328295889911.03,4823552.175829641,4658669.626247212,2 ** 14.0,0.717415460573553,0.7690965558977492,0.7155471911449617,0.7670937002834254
5,N011,north_polar,skew_quad,1328295889906.481,"(np.float64(51.42857142857144), np.float64(48.26869832867589))",N011,1328295889906.4812,"(52.292338807686534, 50.7995526233204)",1328295889925.1216,1328295889915.5254,4718100.897548187,4645281.020463429,2 ** 14.0,0.749842832595217,0.773536317335842,0.7478901168853063,0.7715218998427662
6,N012,north_polar,skew_quad,1328295889906.481,"(np.float64(71.99999999999997), np.float64(60.54441647494063))",N012,1328295889906.4812,"(74.14126279426951, 60.146985942895405)",1328295889901.6965,1328295889903.8132,4946146.882187295,4673676.337778817,2 ** 14.0,0.682292621222475,0.7641654995523692,0.6805158175213812,0.7621754852306222
7,N013,north_polar,skew_quad,1328295889906.481,"(np.float64(54.00000000000001), np.float64(60.54441647494063))",N013,1328295889906.4812,"(55.17767373112603, 62.160061728221756)",1328295889941.4868,1328295889923.8926,4722871.233654528,4640214.680382988,2 ** 14.0,0.7483288400833952,0.7752263846174439,0.7463800670622933,0.7732075659074761
8,N020,north_polar,skew_quad,1328295889906.481,"(np.float64(115.71428571428571), np.float64(48.268698328675924))",N020,1328295889906.4812,"(113.66153973025328, 49.25811906588689)",1328295889916.7021,1328295889911.036,4823552.17582897,4658669.626247254,2 ** 14.0,0.7174154605737627,0.7690965558977388,0.7155471911451708,0.7670937002834148
9,N021,north_polar,skew_quad,1328295889906.481,"(np.float64(107.99999999999999), np.float64(60.544416474940675))",N021,1328295889906.4812,"(105.85873720573053, 60.146985942895355)",1328295889901.6543,1328295889903.8274,4946146.882187283,4673676.337778644,2 ** 14.0,0.6822926212224567,0.764165499552434,0.680515817521363,0.7621754852306867
