Common latitude,Authalic (mpmath),Authalic (old code),Authalic (new code),Diff. (old - new) E10,Diff. (new - mpmath) E10,Diff. (old - mpmath)E10
-90.0,-90.0,-89.9999982924527,-90.0,17075.47299999999999999999999999999999999999999999999999999999999488088,0.0,17075.47299999999999999999999999999999999999999999999999999999999488088
-89.9,-89.89955130506396000949690863402843688940967781995020500060216597972195,-89.89955130505896,-89.89955130506395,0.04990000000000000000000000000000000000000000000000000000000435270015814,0.0001000949690863402843688940967781995020500060216597972195233778196121008,0.05000009496908634028436889409677819950205000602165979721952773051977024
-89.8,-89.79910261562641837077784896752662428164702539112520058704542052732981,-89.7991026156262,-89.79910261562641,0.00209999999999999999999999999999999999999999999999999999999981151582322,0.00008370777848967526624281647025391125200587045420527329809287034245156155,0.002183707778489675266242816470253911252005870454205273298092681858274781
-89.7,-89.69865393718584772681526715796721066607157480860063291821305556632779,-89.69865393717998,-89.69865393718585,0.05869999999999999999999999999999999999999999999999999999999417945328614,-0.00002273184732842032789333928425191399367081786944433672213787766359851446,0.05867726815267157967210666071574808600632918213055566327785630178968763
-89.6,-89.59820527524052655770029051682647176944369568470006198381573878653373,-89.59820527523469,-89.59820527524055,0.05860000000000000000000000000000000000000000000000000000000522773274304,-0.0002344229970948317352823055630431529993801618426121346626960001248508715,0.05836557700290516826471769443695684700061983815738786533730922760789217
-89.5,-89.49775663528858484763420859950762385911626237161845392325268876045369,-89.49775663528719,-89.49775663528858,0.01390000000000000000000000000000000000000000000000000000000592796187139,0.00004847634208599507623859116262371618453923252688760453686694285841145468,0.01394847634208599507623859116262371618453923252688760453687287082028285
-89.4,-89.39730802282783563543063558018333738096967092291919042688903362101244,-89.39730802282553,-89.39730802282783,0.02299999999999999999999999999999999999999999999999999999999738368429141,0.00005635430635580183337380969670922919190426889033621012441323410031675353,0.02305635430635580183337380969670922919190426889033621012441061778460816
-89.3,-89.29685944335574931481833904946681187247338274064590818130906457611406,-89.29685944335422,-89.29685944335576,0.01540000000000000000000000000000000000000000000000000000000248153911058,-0.0001068518166095053318812752661725935409181869093542388594475380379550829,0.01529314818339049466811872473382740645908181309064576114055494350115549
-89.2,-89.19641090236942793922783891689530618441025901734679795188025633730342,-89.19641090237033,-89.19641090236942,-0.009100000000000000000000000000000000000000000000000000000003046991640918,0.00007939227838916895306184410259017346797951880256337303421408192017452864,-0.009020607721610831046938155897409826532020481197436626965788965071466389
-89.1,-89.09596240536543678605734236412745185808896045212246719969392096232186,-89.09596240536288,-89.09596240536544,0.02559999999999999999999999999999999999999999999999999999999991014893466,-0.00003213942657635872548141911039547877532800306079037678142024186548843523,0.02556786057342364127451858088960452122467199693920962321857966828344622
-89.0,-88.99551395783985004627804124025737521328058141462953590303485403367226,-88.99551395783817,-88.99551395783986,0.01690000000000000000000000000000000000000000000000000000001062638557066,-0.00009953721958759742624786719418585370464096965145966327738134536524138839,0.01680046278041240257375213280581414629535903034854033672262928102032927
-88.9,-88.89506556528808240241386534280294523643584691934005633152106149120954,-88.89506556528715,-88.89506556528808,0.009299999999999999999999999999999999999999999999999999999992541701948031,0.00002402413865342802945236435846919340056331521061491209541666811660247404,0.009324024138653428029452364358469193400563315210614912095409209818550505
-88.8,-88.79461723320486336066759609951194842154213974272128889258535314103165,-88.79461723320294,-88.79461723320487,0.019300000000000000000000000000000000000000000000000000000000475601465,-0.00006639332403900488051578457860257278711107414646858968350566510613274769,0.01923360667596099511948421542139742721288892585353141031649481049533225
-88.7,-88.69416896708421159201267928259745152904079509969067449825171792314578,-88.69416896708312,-88.69416896708421,0.01090000000000000000000000000000000000000000000000000000000122953817212,0.00001592012679282597451529040795099690674498251717923145780361968457978724,0.01091592012679282597451529040795099690674498251717923145780484922275191
-88.6,-88.59372077241926653769490257993281396173464006359984706405212349072652,-88.59372077241864,-88.59372077241926,0.006199999999999999999999999999999999999999999999999999999998891557705653,0.00006537694902579932813961734640063599847064052123490726525361233386827686,0.00626537694902579932813961734640063599847064052123490726525250389157393
-88.5,-88.493272654702334144056059087532845395229330982047142500406797846667,-88.4932726547024,-88.49327265470235,-0.0005000000000000000000000000000000000000000000000000000000027149488200281,-0.0001585594394091246715460477066901795285749959320215333300226850555627727,-0.0006585594394091246715460477066901795285749959320215333300254000043828008
-88.4,-88.39282461942471849088576091977780801682620816703259025938105289322936,-88.39282461942484,-88.39282461942472,-0.001199999999999999999999999999999999999999999999999999999994924607947169,-0.00001509114239080222191983173791832967409740618947106770636457962606434673,-0.001215091142390802221919831737918329674097406189471067706359504234011516
-88.3,-88.29237667207669617806668479748176242870236657921925191298428276445143,-88.29237667207688,-88.29237667207668,-0.002000000000000000000000000000000000000000000000000000000010859795280112,0.0001617806668479748176242870236657921925191298428276445143370508798456811,-0.001838219333152025182375712976334207807480870157172355485673808915434431
-88.2,-88.19192881814749072566376442085991818053747591154619294428016598621687,-88.1919288181464,-88.1919288181475,0.01100000000000000000000000000000000000000000000000000000000177252793613,-0.00009274336235579140081819462524088453807055719834013783125954339470623898,0.01090725663764420859918180537475911546192944280165986216874222913322989
-88.1,-88.0914810631251042435448419188465933576267063873320603683575251658984,-88.09148106312443,-88.0914810631251,0.006700000000000000000000000000000000000000000000000000000001606506525681,0.00004243544841918846593357626706387332060368357525165898402421160869936897,0.00674243544841918846593357626706387332060368357525165898402581811522505
-88.0,-87.99103341249636323400872011949086382940425614651316621298090831464548,-87.99103341249676,-87.99103341249636,-0.003999999999999999999999999999999999999999999999999999999998537052118428,0.0000323400872011949086382940425614651316621298090831464547941108732435503,-0.003967659912798805091361705957438534868337870190916853545204426178874878
-87.9,-87.89058587174675029338293014710248000011319812862380965942424414324947,-87.89058587174684,-87.89058587174677,-0.0006999999999999999999999999999999999999999999999999999999922096591271411,-0.000197066170698528975199998868018713761903405757558567505333217187701121,-0.0008970661706985289751999988680187137619034057575585675053254268468282621
-87.8,-87.79013844636037857586164543220646458513297387257774457407272853116545,-87.79013844636036,-87.79013844636037,0.0001000000000000000000000000000000000000000000000000000000005429897640056,0.00008575861645432206464585132973872577744574072728531165450397319324601114,0.0001857586164543220646458513297387257774457407272853116545045161830100168
-87.7,-87.68969114181996627526027144303361404715509064505108601060663080005761,-87.68969114181945,-87.68969114181996,0.005099999999999999999999999999999999999999999999999999999992918670301592,0.00006275260271443033614047155090645051086010606630800057606747793664792378,0.005162752602714430336140471550906450510860106066308000576060396606949515
-87.6,-87.58924396360666838161211634761788375150901723860196536509636730662874,-87.58924396360602,-87.58924396360666,0.006399999999999999999999999999999999999999999999999999999999977537233665,0.00008381612116347617883751509017238601965365096367306628740964660908718204,0.006483816121163476178837515090172386019653650963673066287409624146320847
-87.5,-87.48879691720012257415907886068455164840231439721387616850653791154279,-87.48879691720045,-87.4887969172001,-0.0034999999999999999999999999999999999999999999999999999999958221032984,0.0002257415907886068455164840231439721387616850653791154278903578418202821,-0.003274258409211393154483515976856027861238314934620884572105464261478118
-87.4,-87.38835000807828101903935083153100131628885086709677773592574743851025,-87.38835000807791,-87.38835000807828,0.003700000000000000000000000000000000000000000000000000000008499352047309,0.00001019039350831531001316288850867096777735925747438510249545618647606947,0.003710190393508315310013162888508670967777359257474385102503955538523379
