Common latitude,Authalic (direct mpmath),Authalic (OLD),Authalic (NEW),Diff (auth OLD - auth NEW) E-12,Diff (auth OLD - auth direct mpmath) E-12,Diff (auth NEW - auth direct mpmath) E-12,Authalic inverse (OLD),Authalic inverse (NEW),Diff (auth inv OLD - auth inv NEW) E-12,Diff (auth inv OLD - common) E-12,Diff (auth inv NEW - common) E-12
-90.0,-89.99999999999999999999999999999999975616382227552520156202567970643249,-89.99999852122066,-90.0,1478779.340000000000000000000000000000000000000000000000000000000521037,1478779.339999999999999999999756163822275525201562025679706432491050918,-0.000000000000000000000243836177724474798437974320293567509470119388941234461726212858170756,-90.0,-90.0,0.0,0.0,0.0
-89.9,-89.89955130506616934838482075176788455614839646410202520537039318247103,-89.89955130506985,-89.89955130506617,-3.68000000000000000000000000000000000000000000000000000000027686563988,-3.680651615179248232115443851603535897974794629606817528970589835853037,-0.0006516151792482321154438516035358979747946296068175289703129702131573376,-89.89999999999506,-89.89999999999999,4.930000000000000000000000000000000000000000000000000000000109476157411,4.940000000000000000000000000000000000000000000000000000000163775133811,0.01000000000000000000000000000000000000000000000000000000005429897640056
-89.8,-89.79910261563085129587236563935636368689734584589548823479523504861411,-89.79910261563165,-89.79910261563084,-0.8099999999999999999999999999999999999999999999999999999997617094000862,-0.7987041276343606436363131026541541045117652047649513858897627838997059,0.01129587236563935636368689734584589548823479523504861410999892550038032,-89.79999999999012,-89.80000000000001,9.890000000000000000000000000000000000000000000000000000000381849244023,9.880000000000000000000000000000000000000000000000000000000327550267623,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-89.7,-89.69865393719248990890216321165225538819392117008916315323053664042871,-89.69865393718847,-89.69865393719249,4.019999999999999999999999999999999999999999999999999999999804776993319,4.019908902163211652255388193921170089163153230536640428709888472315371,-0.00009109783678834774461180607882991083684676946335957128991630467794757611,-89.69999999998515,-89.70000000000002,14.86999999999999999999999999999999999999999999999999999999960369336135,14.84999999999999999999999999999999999999999999999999999999949509540855,-0.02000000000000000000000000000000000000000000000000000000010859795280112
-89.6,-89.59820527524939218949822867275653156835371709134227972807064690017286,-89.5982052752465,-89.59820527524938,2.879999999999999999999999999999999999999999999999999999999410328294104,2.892189498228672756531568353717091342279728070646900172860174052497956,0.0121894982286727565315683537170913422797280706469001728607637242038519,-89.59999999998021,-89.60000000000002,19.80999999999999999999999999999999999999999999999999999999976746849516,19.78999999999999999999999999999999999999999999999999999999965887054236,-0.02000000000000000000000000000000000000000000000000000000010859795280112
-89.5,-89.49775663529965954533848687531082918604484237317883390243654635927007,-89.49775663529736,-89.49775663529967,2.309999999999999999999999999999999999999999999999999999999792667405542,2.299545338486875310829186044842373178833902436546359270069306732053943,-0.01045466151312468917081395515762682116609756345364072993048593535159823,-89.49999999997527,-89.5,24.72999999999999999999999999999999999999999999999999999999982264567617,24.72999999999999999999999999999999999999999999999999999999982264567617,0.0
-89.4,-89.39730802284111926255676917350956221725422887014318075165318292475929,-89.39730802284126,-89.39730802284113,-0.1299999999999999999999999999999999999999999999999999999995467597711175,-0.1407374432308264904377827457711298568192483468170752407104079520830147,-0.01073744323082649043778274577112985681924834681707524071086119231189721,-89.39999999997032,-89.4,29.68000000000000000000000000000000000000000000000000000000004071978638,29.68000000000000000000000000000000000000000000000000000000004071978638,0.0
-89.3,-89.29685944337125598218817252486939280153787999301729172957464712956514,-89.29685944336822,-89.29685944337125,3.030000000000000000000000000000000000000000000000000000000224812940113,3.03598218817252486939280153787999301729172957464712956514052671119887,0.005982188172524869392801537879993017291729574647129565140301898258757066,-89.29999999996538,-89.30000000000001,34.63000000000000000000000000000000000000000000000000000000025879389659,34.62000000000000000000000000000000000000000000000000000000020449492019,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-89.2,-89.19641090238714318116850960568652756872297917297107511722836377282772,-89.19641090238757,-89.19641090238714,-0.4300000000000000000000000000000000000000000000000000000000166021410445,-0.4268188314903943134724312770208270289248827716362271722795220024280563,0.003181168509605686527568722979172971075117228363772827720494599712988171,-89.19999999996043,-89.2,39.56999999999999999999999999999999999999999999999999999999926344210831,39.56999999999999999999999999999999999999999999999999999999926344210831,0.0
-89.1,-89.09596240538537465879850417778407951812505012845633656408441444252116,-89.09596240538384,-89.09596240538536,1.520000000000000000000000000000000000000000000000000000000139555958257,1.53465879850417778407951812505012845633656408441444252115973944265531,0.01465879850417778407951812505012845633656408441444252115959988669705347,-89.09999999995547,-89.10000000000002,44.54999999999999999999999999999999999999999999999999999999964441314773,44.52999999999999999999999999999999999999999999999999999999953581519493,-0.02000000000000000000000000000000000000000000000000000000010859795280112
