Common latitude,Authalic (direct mpmath),Authalic (OLD),Authalic (NEW),Authalic (Clenshaw),Diff (auth OLD - auth NEW) E-12,Diff (auth OLD - auth direct mpmath) E-12,Diff (auth NEW - auth direct mpmath) E-12,Diff (auth Clenshaw - auth direct mpmath) E-12,Authalic inverse (OLD),Authalic inverse (NEW),Diff (auth inv OLD - auth inv NEW) E-12,Diff (auth inv OLD - common) E-12,Diff (auth inv NEW - common) E-12
-90.0,-89.99999999999999999999999999999999965516357046483137009407013049899525,-89.9999982924527,-90.0,-90.0,1707547.299999999999999999999999999999999999999999999999999999999488088,1707547.299999999999999999999655163570464831370094070130498995249626313,-0.000000000000000000000344836429535168629905929869501004749861775537125398057268528363097991,-0.000000000000000000000344836429535168629905929869501004749861775537125398057268528363097991,-90.0,-90.0,0.0,0.0,0.0
-89.9,-89.89955130506395430754349131528587865004016994325712096022804196183094,-89.89955130505896,-89.89955130506395,-89.89955130506395,4.990000000000000000000000000000000000000000000000000000000435270015814,4.994307543491315285878650040169943257120960228041961830939745448147917,0.004307543491315285878650040169943257120960228041961830939310178132102336,0.004307543491315285878650040169943257120960228041961830939310178132102336,-89.89999999999506,-89.9,4.940000000000000000000000000000000000000000000000000000000163775133811,4.940000000000000000000000000000000000000000000000000000000163775133811,0.0
-89.8,-89.7991026156264212414885228458794241438833385124170922373321597350486,-89.7991026156262,-89.79910261562641,-89.79910261562641,0.209999999999999999999999999999999999999999999999999999999981151582322,0.2212414885228458794241438833385124170922373321597350486003501085896437,0.01124148852284587942414388333851241709223733215973504860036895700732175,0.01124148852284587942414388333851241709223733215973504860036895700732175,-89.7999999999901,-89.8,9.900000000000000000000000000000000000000000000000000000000436148220424,9.900000000000000000000000000000000000000000000000000000000436148220424,0.0
-89.7,-89.69865393718584489557309138444121001084871111503520984668507707522043,-89.69865393717998,-89.69865393718585,-89.69865393718585,5.869999999999999999999999999999999999999999999999999999999417945328614,5.864895573091384441210010848711115035209846685077075220429599339910585,-0.005104426908615558789989151288884964790153314922924779569818605418029871,-0.005104426908615558789989151288884964790153314922924779569818605418029871,-89.69999999998515,-89.69999999999997,14.82000000000000000000000000000000000000000000000000000000049132540143,14.84999999999999999999999999999999999999999999999999999999949509540855,0.02999999999999999999999999999999999999999999999999999999900377000711186
-89.6,-89.59820527524053229911898471241388762151002838946815223727877383000321,-89.59820527523469,-89.59820527524055,-89.59820527524055,5.860000000000000000000000000000000000000000000000000000000522773274304,5.842299118984712413887621510028389468152237278773830003210300943630294,-0.01770088101528758611237848997161053184776272122616999679022182964400927,-0.01770088101528758611237848997161053184776272122616999679022182964400927,-89.5999999999802,-89.59999999999998,19.77999999999999999999999999999999999999999999999999999999960457156596,19.79999999999999999999999999999999999999999999999999999999971316951876,0.02000000000000000000000000000000000000000000000000000000010859795280112
-89.5,-89.49775663528858488710085677261895339828414568920281016892203159446282,-89.49775663528719,-89.49775663528858,-89.49775663528858,1.390000000000000000000000000000000000000000000000000000000592796187139,1.394887100856772618953398284145689202810168922031594462820648256306853,0.00488710085677261895339828414568920281016892203159446282005546011971389,0.00488710085677261895339828414568920281016892203159446282005546011971389,-89.49999999997526,-89.5,24.73999999999999999999999999999999999999999999999999999999987694465257,24.73999999999999999999999999999999999999999999999999999999987694465257,0.0
-89.4,-89.39730802282782997294787671652239148709955173002881862746138265094526,-89.39730802282553,-89.39730802282783,-89.39730802282783,2.299999999999999999999999999999999999999999999999999999999738368429141,2.299972947876716522391487099551730028818627461382650945259785796576652,-0.00002705212328347760851290044826997118137253861734905473995257185248950454,-0.00002705212328347760851290044826997118137253861734905473995257185248950454,-89.39999999997032,-89.4,29.68000000000000000000000000000000000000000000000000000000004071978638,29.68000000000000000000000000000000000000000000000000000000004071978638,0.0
-89.3,-89.29685944335575222498874022023491129815172280554676309345753059021269,-89.29685944335422,-89.29685944335576,-89.29685944335576,1.540000000000000000000000000000000000000000000000000000000248153911058,1.53222498874022023491129815172280554676309345753059021268944361878723,-0.007775011259779765088701848277194453236906542469409787310804535123827663,-0.007775011259779765088701848277194453236906542469409787310804535123827663,-89.29999999996538,-89.30000000000001,34.63000000000000000000000000000000000000000000000000000000025879389659,34.62000000000000000000000000000000000000000000000000000000020449492019,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-89.2,-89.19641090236942514745077183917080943457528712018515908147160945710885,-89.19641090237033,-89.19641090236942,-89.19641090236942,-0.9100000000000000000000000000000000000000000000000000000003046991640918,-0.9048525492281608291905654247128798148409185283905428911503270880490381,0.005147450771839170809434575287120185159081471609457108849977611115053639,0.005147450771839170809434575287120185159081471609457108849977611115053639,-89.19999999996043,-89.2,39.56999999999999999999999999999999999999999999999999999999926344210831,39.56999999999999999999999999999999999999999999999999999999926344210831,0.0
-89.1,-89.09596240536544256692377264396076299828540705579459800426364429357741,-89.09596240536288,-89.09596240536544,-89.09596240536544,2.559999999999999999999999999999999999999999999999999999999991014893466,2.562566923772643960762998285407055794598004263644293577410140280717755,0.002566923772643960762998285407055794598004263644293577410149265824289166,0.002566923772643960762998285407055794598004263644293577410149265824289166,-89.09999999995547,-89.09999999999998,44.50999999999999999999999999999999999999999999999999999999942721724213,44.52999999999999999999999999999999999999999999999999999999953581519493,0.02000000000000000000000000000000000000000000000000000000010859795280112
